日付,視聴行動別の視聴者区分,視聴回数
2026-09-05,不明,0
2026-09-06,不明,0
2026-09-07,不明,0
2026-09-08,不明,0
2026-09-09,不明,0
2026-09-10,不明,0
2026-09-11,不明,0
2026-09-12,不明,0
2026-09-05,新しい視聴者数,1111
2026-09-06,新しい視聴者数,1071
2026-09-07,新しい視聴者数,684
2026-09-08,新しい視聴者数,508
2026-09-09,新しい視聴者数,284
2026-09-10,新しい視聴者数,1192
2026-09-11,新しい視聴者数,462
2026-09-12,新しい視聴者数,0
2026-09-05,ライトな視聴者,6
2026-09-06,ライトな視聴者,13
2026-09-07,ライトな視聴者,6
2026-09-08,ライトな視聴者,7
2026-09-09,ライトな視聴者,44
2026-09-10,ライトな視聴者,19
2026-09-11,ライトな視聴者,11
2026-09-12,ライトな視聴者,0
