日付,コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
2026-09-05,EWVG5pEgU2k,MRIの日、メイクして行っても大丈夫？　#MRI #MRI検査 #検査前準備 #メイク #アイメイク #医療知識 #診療放射線技師,"Sep 6, 2026",45,0
2026-09-06,EWVG5pEgU2k,MRIの日、メイクして行っても大丈夫？　#MRI #MRI検査 #検査前準備 #メイク #アイメイク #医療知識 #診療放射線技師,"Sep 6, 2026",45,970
2026-09-07,EWVG5pEgU2k,MRIの日、メイクして行っても大丈夫？　#MRI #MRI検査 #検査前準備 #メイク #アイメイク #医療知識 #診療放射線技師,"Sep 6, 2026",45,6
2026-09-08,EWVG5pEgU2k,MRIの日、メイクして行っても大丈夫？　#MRI #MRI検査 #検査前準備 #メイク #アイメイク #医療知識 #診療放射線技師,"Sep 6, 2026",45,4
2026-09-09,EWVG5pEgU2k,MRIの日、メイクして行っても大丈夫？　#MRI #MRI検査 #検査前準備 #メイク #アイメイク #医療知識 #診療放射線技師,"Sep 6, 2026",45,5
2026-09-10,EWVG5pEgU2k,MRIの日、メイクして行っても大丈夫？　#MRI #MRI検査 #検査前準備 #メイク #アイメイク #医療知識 #診療放射線技師,"Sep 6, 2026",45,1
2026-09-11,EWVG5pEgU2k,MRIの日、メイクして行っても大丈夫？　#MRI #MRI検査 #検査前準備 #メイク #アイメイク #医療知識 #診療放射線技師,"Sep 6, 2026",45,1
2026-09-12,EWVG5pEgU2k,MRIの日、メイクして行っても大丈夫？　#MRI #MRI検査 #検査前準備 #メイク #アイメイク #医療知識 #診療放射線技師,"Sep 6, 2026",45,0
2026-09-05,FFrXi1bt92k,MRI前、カラコンは外すべき？ #MRI検査 #MRI前 #カラコン #カラーコンタクト #検査前準備 #病院検査 #診療放射線技師,"Sep 5, 2026",45,891
2026-09-06,FFrXi1bt92k,MRI前、カラコンは外すべき？ #MRI検査 #MRI前 #カラコン #カラーコンタクト #検査前準備 #病院検査 #診療放射線技師,"Sep 5, 2026",45,10
