コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,サムネイルのインプレッション,サムネイルのクリック率 (%)
合計,,,,5638,13.589,6,6929,2.86
EWVG5pEgU2k,MRIの日、メイクして行っても大丈夫？　#MRI #MRI検査 #検査前準備 #メイク #アイメイク #医療知識 #診療放射線技師,"Sep 6, 2026",45,987,0.9788,0,150,2.67
IkYZqh0XLu4,車椅子でもMRI検査は受けられます　#MRI #MRI検査 #車椅子 #検査前の不安 #医療情報 #診療放射線技師 #検査準備,"Sep 10, 2026",46,949,3.2013,1,258,1.16
FFrXi1bt92k,MRI前、カラコンは外すべき？ #MRI検査 #MRI前 #カラコン #カラーコンタクト #検査前準備 #病院検査 #診療放射線技師,"Sep 5, 2026",45,924,1.0963,0,501,1.6
l_sSDAL7nQk,補聴器を外したら、説明が聞こえない時は？ #補聴器 #MRI検査 #CT検査 #検査前の不安 #高齢者の検査 #家族の付き添い #診療放射線技師,"Sep 7, 2026",59,827,2.027,1,48,0
S56v6xwhZpc,杖を使っていてもMRI検査は受けられます　#MRI検査 #杖歩行 #検査前の不安 #高齢者の検査 #医療情報 #診療放射線技師 #検査前に知っておきたい,"Sep 11, 2026",34,434,0.4373,0,73,0
YZrZin7Qn7k,ペースメーカーがあるけど、MRIは受けられる？　#ペースメーカー #MRI検査 #CT検査 #検査前の準備 #医療情報 #患者さん向け #診療放射線技師,"Sep 9, 2026",52,357,1.1486,1,205,1.95
ygQBVeJIgFE,リブレ2をつけたままX線・CT検査を受けてもいい？ #リブレ2 #FreeStyleリブレ #血糖測定 #CT検査 #X線検査 #MRI検査 #検査前の不安 #診療放射線技師,"Sep 8, 2026",45,193,0.2937,0,167,7.19
r523eKnhRWs,MRI前、マグネットネイルしてたらどうする？　#MRI #MRI検査 #マグネットネイル #ジェルネイル #検査前準備 #医療検査 #診療放射線技師,"Sep 4, 2026",57,143,0.6011,0,230,4.78
kIFIlJQJHoc,MRI検査中、これだけは知っておいてください#MRI #MRI検査 #検査前の不安 #放射線技師 #医療情報 #検査の豆知識 #患者さん向け #病院検査,"May 23, 2026",45,111,0.6331,0,417,6.24
lZ5mDgQYSmI,造影剤って何のために使うの？#CT検査 #造影CT #造影剤 #検査前の不安 #医療解説 #病院検査 #診療放射線技師 #健康診断 #検査の不安 #患者さん向け #放射線検査,"Jun 28, 2026",86,57,0.3303,0,288,5.56
T1L_9OLXHdE,マンモで要精密検査、次に何をする？#マンモグラフィ#マンモ#乳がん検診#要精密検査#乳腺外来#乳腺外科#乳腺エコー#検診結果#健康診断#医療知識#検査の不安#患者さん向け#医療系リール,"Jun 27, 2026",49,49,0.1887,0,262,4.58
Mo1KCbY0KQg,MRIの狭い筒がこわいとき、先に伝えて大丈夫です　#MRI検査 #閉所不安 #閉所恐怖症 #検査前の不安 #医療の不安 #放射線検査 #診療放射線技師,"Jul 31, 2026",42,43,0.3555,0,122,3.28
JD7DHcAXUiI,CT造影剤 体が熱くなるのは大丈夫?#CT検査 #造影CT #造影剤 #造影剤検査 #検査前の不安 #医療情報 #病院検査 #診療放射線技師 #患者さん向け #検査の不安解消 #CT造影剤 #保存推奨,"Jul 3, 2026",102,36,0.2421,0,126,7.14
qr_fOqwZKPs,マンモの結果、何と書いてあったら受診が必要？#マンモグラフィー #乳がん検診 #乳がん検査 #検査結果 #要精密検査 #乳腺外科 #女性の健康 #医療情報 #検査の不安 #診療放射線技師 #安心解説,"Jun 17, 2026",60,30,0.0838,0,298,1.68
dhxxEemmfIk,骨密度検査、かかとで測るの？腰で測るの？#骨密度検査 #DXA法 #骨粗しょう症予防 #健康診断 #診療放射線技師 #検査の不安を安心に #医療知識 #骨の健康,"Jun 12, 2026",51,28,0.1509,0,95,7.37
4szH2c2pfHE,造影剤の副作用やアレルギーが怖い方へ#造影剤 #造影CT #CT検査 #検査前の不安 #医療知識 #健康診断 #画像検査 #病院検査 #診療放射線技師 #不安を減らす医療情報,"Jun 30, 2026",80,24,0.104,0,161,3.11
zDz8Oj91GRE,造影CTの前に、家族が確認したい3つ#造影CT #造影剤 #CT検査 #医療知識 #健康リテラシー #放射線技師 #病院 #検査 #医療の話 #ヘルスリテラシー,"May 21, 2026",37,24,0.0617,0,96,5.21
AUUfu1AyUas,MRIの音、壊れてるわけじゃありません#MRI検査#MRI#放射線技師#検査前の不安#医療知識#病院#健康情報#検査#医療#安心して検査,"May 23, 2026",52,22,0.0541,0,97,7.22
a9Yf4GjCv0o,検査着に着替えるの 少し恥ずかしい　#検査着 #検査前の不安 #病院検査 #レントゲン検査 #CT検査 #MRI検査 #患者さんへ #診療放射線技師,"Jul 30, 2026",40,17,0.0527,0,63,4.76
2ZkDnj6nsvY,お腹のCTなのに、ブラジャーも外すんですか？　お腹のCTなのに、ブラジャーも外すんですか？,"Sep 3, 2026",48,17,0.0362,0,112,2.68
sizZbPZPxTQ,角度を変えて撮影しますと言われて不安になったら　#レントゲン #X線検査 #検査の不安 #再撮影 #医療検査 #診療放射線技師 #検査前に知っておきたい,"Aug 26, 2026",68,17,0.0366,0,120,1.67
o2ya0Ces4IA,レントゲンに写るもの・写りにくいもの  #レントゲン #X線検査 #画像検査 #検査の不安 #医療知識 #患者さん向け #診療放射線技師,"Aug 22, 2026",62,17,0.0183,0,135,0.74
 -nyM6wTIpv4,高濃度乳房ならエコー？検査の選び方は人によって違います#マンモグラフィー #高濃度乳房 #乳腺エコー #乳がん検診 #乳がん検査 #検査結果 #病院検査 #診療放射線技師 #検査の不安#保存推奨,"Jun 10, 2026",47,14,0.0209,0,72,1.39
AOsJBz9s3nY,レントゲンとCTって何が違うの?#レントゲン #CT検査 #画像検査 #診療放射線技師 #医療知識 #検査前の不安 #病院 #健康診断,"Jun 25, 2026",59,13,0.2011,0,44,2.27
I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,13,0.0272,0,157,1.91
ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,13,0.0182,0,152,0.66
0QMhezmENcQ,胸のレントゲン、肺だけ見ていると思っていませんか？#レントゲン #胸部レントゲン #胸部X線 #診療放射線技師 #放射線検査 #医療知識 #検査の疑問 #健康診断 #心臓 #肺 #CT #医療系リール,"Jul 7, 2026",53,13,0.0292,0,80,1.25
skFRoPNX4A8,CTって何分くらいかかるの？#CT検査 #単純CT #造影CT #検査時間 #検査の不安 #医療知識 #病院検査 #診療放射線技師 #検査前に知っておきたい #患者さん向け #医療情報 #不安解消,"Jul 2, 2026",112,12,0.1627,0,68,4.41
G3J7Z32ShEQ,MRIや頭のCT、入れ歯は外すの？　#MRI検査 #CT検査 #入れ歯 #検査前 #画像検査 #病院受診 #診療放射線技師,"Sep 12, 2026",40,11,0.0244,,69,0
joEVvM6S3bI,骨は折れていないのに、なぜ痛いの？ #レントゲン #骨折 #痛み #検査後の不安 #整形外科 #医療知識 #診療放射線技師,"Aug 21, 2026",52,11,0.0184,0,80,1.25
HeiyhU2VUJs,検査中に苦しくなったら、我慢しないで｜伝え方のポイント　#MRI #MRI検査 #検査の不安 #検査前 #患者さんへ #医療情報 #診療放射線技師,"Jul 28, 2026",44,10,0.068,0,29,10.34
M2b9EXtwSZI,え、温泉でも放射線浴びてるの？#診療放射線技師 #放射線 #ラドン温泉 #ラジウム温泉 #温泉 #医療雑学 #自然放射線 #安心ラボ,"May 15, 2026",36,8,0.0333,0,58,0
8bnN-flmjG4,湿布を貼ったまま検査に来た時、どうすればいい？　#湿布 #レントゲン検査 #CT検査 #MRI検査 #検査前の不安 #医療豆知識 #診療放射線技師,"Sep 2, 2026",45,8,0.0484,0,78,1.28
09YwOnxH3BY,MRI検査前に必ず知っておいてほしいこと#MRI #MRI検査 #検査前の不安 #ペースメーカー #人工内耳 #医療情報 #放射線技師 #患者さん向け #病院検査 #検査の豆知識,"May 24, 2026",55,8,0.0191,0,53,0
AO4RJNu-GuU,マンモと乳腺エコー、どっちがいい？ 得意なことが違います#マンモグラフィー #乳腺エコー #乳がん検診 #乳がん検査 #検査前 #病院検査 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 8, 2026",38,7,0.0146,0,35,0
2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,7,0.0645,0,22,9.09
taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,7,0.0368,0,82,2.44
Gk5NRgqUMZQ,自然放射線量は地域で違うって知ってた？,"May 13, 2026",37,7,0.1009,0,9,11.11
