日付,トラフィック ソース,視聴回数
2026-09-05,直接入力または不明,0
2026-09-06,直接入力または不明,0
2026-09-07,直接入力または不明,1
2026-09-08,直接入力または不明,0
2026-09-09,直接入力または不明,0
2026-09-10,直接入力または不明,0
2026-09-11,直接入力または不明,0
2026-09-12,直接入力または不明,0
2026-09-05,ブラウジング機能,5
2026-09-06,ブラウジング機能,11
2026-09-07,ブラウジング機能,6
2026-09-08,ブラウジング機能,2
2026-09-09,ブラウジング機能,5
2026-09-10,ブラウジング機能,9
2026-09-11,ブラウジング機能,7
2026-09-12,ブラウジング機能,4
2026-09-05,チャンネル ページ,2
2026-09-06,チャンネル ページ,0
2026-09-07,チャンネル ページ,1
2026-09-08,チャンネル ページ,1
2026-09-09,チャンネル ページ,33
2026-09-10,チャンネル ページ,1
2026-09-11,チャンネル ページ,2
2026-09-12,チャンネル ページ,19
2026-09-05,YouTube 検索,151
2026-09-06,YouTube 検索,117
2026-09-07,YouTube 検索,108
2026-09-08,YouTube 検索,131
2026-09-09,YouTube 検索,111
2026-09-10,YouTube 検索,128
2026-09-11,YouTube 検索,114
2026-09-12,YouTube 検索,100
2026-09-05,関連動画,2
2026-09-06,関連動画,1
2026-09-07,関連動画,1
2026-09-08,関連動画,0
2026-09-09,関連動画,0
2026-09-10,関連動画,0
2026-09-11,関連動画,0
2026-09-12,関連動画,2
2026-09-05,その他の YouTube 機能,1
2026-09-06,その他の YouTube 機能,13
2026-09-07,その他の YouTube 機能,3
2026-09-08,その他の YouTube 機能,0
2026-09-09,その他の YouTube 機能,0
2026-09-10,その他の YouTube 機能,3
2026-09-11,その他の YouTube 機能,0
2026-09-12,その他の YouTube 機能,0
2026-09-05,外部,0
2026-09-06,外部,0
2026-09-07,外部,2
2026-09-08,外部,1
2026-09-09,外部,1
2026-09-10,外部,1
2026-09-11,外部,0
2026-09-12,外部,1
2026-09-05,ショート フィード,956
2026-09-06,ショート フィード,942
2026-09-07,ショート フィード,568
2026-09-08,ショート フィード,379
2026-09-09,ショート フィード,178
2026-09-10,ショート フィード,1068
2026-09-11,ショート フィード,350
2026-09-12,ショート フィード,84
2026-09-05,ハッシュタグのページ,0
2026-09-06,ハッシュタグのページ,0
2026-09-07,ハッシュタグのページ,0
2026-09-08,ハッシュタグのページ,0
2026-09-09,ハッシュタグのページ,0
2026-09-10,ハッシュタグのページ,1
2026-09-11,ハッシュタグのページ,0
2026-09-12,ハッシュタグのページ,0
2026-09-05,音声のページ,0
2026-09-06,音声のページ,0
2026-09-07,音声のページ,0
2026-09-08,音声のページ,1
2026-09-09,音声のページ,0
2026-09-10,音声のページ,0
2026-09-11,音声のページ,0
2026-09-12,音声のページ,0
