content_id,title,published_date,length_seconds,views,avg_watch_time,avg_view_percentage,hype,notes
zDz8Oj91GRE,"造影CTの前に、家族が確認したい3つ",2026-05-21,37,1772,0:00:29,78.68,0,"#造影CT #造影剤 #CT検査 #医療知識 #健康リテラシー #放射線技師 #病院 #検査 #医療の話 #ヘルスリテラシー"
C7Bdw_taUVE,"CTは悪者？撮れば安心？大切なのは「目的」です。",2026-05-20,31,1694,0:01:12,234.68,0,"#CT検査 #放射線 #被ばく #医療知識 #健康リテラシー #検査 #画像検査 #病院 #医療の話 #医師に相談 #健康管理 #医療リテラシー"
uaBaEmqfmzE,"CTとMRI、同じ検査じゃない",2026-05-21,44,1489,0:00:58,132.83,0,"#CT検査 #MRI検査 #放射線技師 #医療知識 #検査前に知っておきたい #放射線技師の安心ラボ"
kIFIlJQJHoc,"MRI検査中、これだけは知っておいてください",2026-05-23,45,1472,0:01:00,135.28,,"#MRI #MRI検査 #検査前の不安 #放射線技師 #医療情報 #検査の豆知識 #患者さん向け #病院検査"
M2b9EXtwSZI,"え、温泉でも放射線浴びてるの？",2026-05-15,36,1404,0:00:34,95.28,0,"#診療放射線技師 #放射線 #ラドン温泉 #ラジウム温泉 #温泉 #医療雑学 #自然放射線 #安心ラボ"
Gk5NRgqUMZQ,"自然放射線量は地域で違うって知ってた？",2026-05-13,37,1359,0:00:24,67.5,0,""
pbFaB3s2A3c,"MRI前の金属チェック、なぜ聞かれる？",2026-05-22,43,1355,0:00:30,70.71,0,"#MRI #MRI検査 #金属チェック #放射線技師 #診療放射線技師 #検査前 #医療知識 #医療雑学 #不安解消"
DE6f2MR9Mss,"救急でCT？命を守るために必要なことも",2026-05-18,34,1279,0:00:56,164.85,0,"#CT検査 #救急医療 #外傷 #全身CT #放射線 #医療知識 #健康リテラシー #検査 #病院 #医療の話"
AUUfu1AyUas,"MRIの音、壊れてるわけじゃありません",2026-05-23,52,1231,0:00:24,46.63,0,"#MRI検査 #MRI #放射線技師 #検査前の不安 #医療知識 #病院 #健康情報 #検査 #医療 #安心して検査"
y_bN4gYAbOA,"MRI室に車椅子を持ち込むとどうなる？",2026-05-22,55,1134,0:00:57,104.37,0,"#MRI #MRI検査 #放射線技師 #診療放射線技師 #検査前 #金属チェック #医療知識 #医療雑学 #不安解消"
qLjkXUbK-tk,"レントゲン前の湿布、写ることがあります",2026-05-16,39,840,0:00:15,40.68,0,"#Shorts #診療放射線技師 #レントゲン #レントゲン検査 #医療雑学 #病院の豆知識 #検査前 #湿布 #カイロ #健康情報"
vZXlrY1xq-U,"そのCT、本当に必要？",2026-05-17,34,511,0:00:43,127.11,0,"#CT検査 #医療知識 #健康リテラシー #放射線 #検査 #病院 #医療の話 #放射線技師 #医療リテラシー #健康の知識"
ECyOLRqIiAs,"レントゲン１回って危険？",2026-05-09,24,295,0:00:13,57.18,0,""
09YwOnxH3BY,"MRI検査前に必ず知っておいてほしいこと",2026-05-24,55,221,0:00:25,46.21,,"#MRI #MRI検査 #検査前の不安 #ペースメーカー #人工内耳 #医療情報 #放射線技師 #患者さん向け #病院検査 #検査の豆知識"
FhFULnBzOP4,"ＣＴ検査",2026-05-09,28,27,0:00:21,78.36,0,""
