"post_id","platform","published_date","title","theme","views","impressions","likes","comments","shares","subscribers_gained","avg_view_duration","average_percentage_viewed","ctr","hashtags","search_keywords","notes"
"YT-20260510-SHORT-001","youtube_shorts","2026-05-10","ショート動画 2026-05-10","医療雑学","282","","0","0","","0","","10","","#医療雑学 #放射線技師","","learning-loopから移行"
"YT-20260605-A3S6inCBrZ4","youtube_shorts","2026-06-05","エコーは被ばくする？放射線を使わない検査です","","369","30","","","","0","3.4","7.4","0","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260601-0tfJzioifck","youtube_shorts","2026-06-01","再検査と言われたら、次はどの検査？","","276","393","","","","0","4","9.3","3.05","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260606-OfHy4br_BNA","youtube_shorts","2026-06-06","エコーで何がわかるの？","","265","30","","","","","5.8","16.1","6.67","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260601-UeyxDCFr3Sw","youtube_shorts","2026-06-01","検査着に着替える理由","","136","148","","","","0","3.4","7.6","2.03","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260531-43EsE8xRmBM","youtube_shorts","2026-05-31","検査当日の持ち物チェック","","134","119","","","","0","4.2","7","5.88","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260602-fRdBecey4kU","youtube_shorts","2026-06-02","エコーって被ばくする？実は放射線ゼロの検査です","","125","104","","","","0","4.4","8.5","0.96","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260603-b5xkAwZEHM8","youtube_shorts","2026-06-03","エコーのゼリー、実は画像を見やすくするためです","","85","95","","","","0","3.7","7.9","2.11","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260604-Abq4eQGVeGM","youtube_shorts","2026-06-04","エコー検査、痛い？怖い？我慢しなくて大丈夫です","","34","238","","","","0","103.3","224.6","3.78","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260523-kIFIlJQJHoc","youtube_shorts","2026-05-23","MRI検査中、これだけは知っておいてください","","19","95","","","","0","22.5","50","5.26","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260529-eMQqu-Jns6w","youtube_shorts","2026-05-29","明日検査の人、前日はこれだけ確認","","14","130","","","","0","19.4","35.9","2.31","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260523-AUUfu1AyUas","youtube_shorts","2026-05-23","MRIの音、壊れてるわけじゃありません","","14","159","","","","0","12.9","24.8","1.26","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260521-zDz8Oj91GRE","youtube_shorts","2026-05-21","造影CTの前に、家族が確認したい3つ","","13","62","","","","0","20.2","54.6","6.45","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260525-qkey5CrcNoM","youtube_shorts","2026-05-25","MRI・CTの結果が後日になる理由","","6","55","","","","0","21.8","41.9","1.82","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260522-pbFaB3s2A3c","youtube_shorts","2026-05-22","MRI前の金属チェック、なぜ聞かれる？","","5","65","","","","0","18.1","42.1","1.54","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260530-PE0k4sFEefk","youtube_shorts","2026-05-30","検査前の絶食、なんで必要？","","5","113","","","","0","21.3","34.4","0.88","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260524-09YwOnxH3BY","youtube_shorts","2026-05-24","MRI検査前に必ず知っておいてほしいこと","","4","76","","","","0","32.3","58.7","3.95","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260526-Ff7Ib8ASbYE","youtube_shorts","2026-05-26","「再検査」と言われたときに知っておいてほしいこと","","4","23","","","","0","13.3","30.2","4.35","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260522-y_bN4gYAbOA","youtube_shorts","2026-05-22","MRI室に車椅子を持ち込むとどうなる？","","3","47","","","","0","3.2","5.8","0","","","YouTube Studio weekly 2026-05-31_2026-06-07"
"YT-20260520-C7Bdw_taUVE","youtube_shorts","2026-05-20","CTは悪者？撮れば安心？大切なのは「目的」です。","","3","33","","","","0","17.9","57.7","0","","","YouTube Studio weekly 2026-05-31_2026-06-07"
