"period_start","period_end","content_id","published_date","title","length_seconds","views","watch_time_hours","subscribers_gained","impressions","ctr_percent","avg_view_duration_seconds","avg_view_percentage","source"
"2026-05-31","2026-06-07","A3S6inCBrZ4","2026-06-05","エコーは被ばくする？放射線を使わない検査です","46","369","0.3467","0","30","0","3.4","7.4","YouTube Studio CSV"
"2026-05-31","2026-06-07","0tfJzioifck","2026-06-01","再検査と言われたら、次はどの検査？","43","276","0.3073","0","393","3.05","4","9.3","YouTube Studio CSV"
"2026-05-31","2026-06-07","OfHy4br_BNA","2026-06-06","エコーで何がわかるの？","36","265","0.4243","","30","6.67","5.8","16.1","YouTube Studio CSV"
"2026-05-31","2026-06-07","UeyxDCFr3Sw","2026-06-01","検査着に着替える理由","45","136","0.1287","0","148","2.03","3.4","7.6","YouTube Studio CSV"
"2026-05-31","2026-06-07","43EsE8xRmBM","2026-05-31","検査当日の持ち物チェック","60","134","0.1568","0","119","5.88","4.2","7","YouTube Studio CSV"
"2026-05-31","2026-06-07","fRdBecey4kU","2026-06-02","エコーって被ばくする？実は放射線ゼロの検査です","52","125","0.152","0","104","0.96","4.4","8.5","YouTube Studio CSV"
"2026-05-31","2026-06-07","b5xkAwZEHM8","2026-06-03","エコーのゼリー、実は画像を見やすくするためです","47","85","0.0866","0","95","2.11","3.7","7.9","YouTube Studio CSV"
"2026-05-31","2026-06-07","Abq4eQGVeGM","2026-06-04","エコー検査、痛い？怖い？我慢しなくて大丈夫です","46","34","0.976","0","238","3.78","103.3","224.6","YouTube Studio CSV"
"2026-05-31","2026-06-07","kIFIlJQJHoc","2026-05-23","MRI検査中、これだけは知っておいてください","45","19","0.119","0","95","5.26","22.5","50","YouTube Studio CSV"
"2026-05-31","2026-06-07","eMQqu-Jns6w","2026-05-29","明日検査の人、前日はこれだけ確認","54","14","0.0755","0","130","2.31","19.4","35.9","YouTube Studio CSV"
"2026-05-31","2026-06-07","AUUfu1AyUas","2026-05-23","MRIの音、壊れてるわけじゃありません","52","14","0.0501","0","159","1.26","12.9","24.8","YouTube Studio CSV"
"2026-05-31","2026-06-07","zDz8Oj91GRE","2026-05-21","造影CTの前に、家族が確認したい3つ","37","13","0.0729","0","62","6.45","20.2","54.6","YouTube Studio CSV"
"2026-05-31","2026-06-07","qkey5CrcNoM","2026-05-25","MRI・CTの結果が後日になる理由","52","6","0.0364","0","55","1.82","21.8","41.9","YouTube Studio CSV"
"2026-05-31","2026-06-07","pbFaB3s2A3c","2026-05-22","MRI前の金属チェック、なぜ聞かれる？","43","5","0.0252","0","65","1.54","18.1","42.1","YouTube Studio CSV"
"2026-05-31","2026-06-07","PE0k4sFEefk","2026-05-30","検査前の絶食、なんで必要？","62","5","0.0296","0","113","0.88","21.3","34.4","YouTube Studio CSV"
"2026-05-31","2026-06-07","09YwOnxH3BY","2026-05-24","MRI検査前に必ず知っておいてほしいこと","55","4","0.0359","0","76","3.95","32.3","58.7","YouTube Studio CSV"
"2026-05-31","2026-06-07","Ff7Ib8ASbYE","2026-05-26","「再検査」と言われたときに知っておいてほしいこと","44","4","0.0148","0","23","4.35","13.3","30.2","YouTube Studio CSV"
"2026-05-31","2026-06-07","y_bN4gYAbOA","2026-05-22","MRI室に車椅子を持ち込むとどうなる？","55","3","0.0027","0","47","0","3.2","5.8","YouTube Studio CSV"
"2026-05-31","2026-06-07","C7Bdw_taUVE","2026-05-20","CTは悪者？撮れば安心？大切なのは「目的」です。","31","3","0.0149","0","33","0","17.9","57.7","YouTube Studio CSV"
"2026-05-31","2026-06-07","R-n1UQj9JvQ","2026-05-27","「異常なし」なのに不安が消えない理由","35","2","0.0179","0","43","2.33","32.2","92","YouTube Studio CSV"
"2026-05-31","2026-06-07","M2b9EXtwSZI","2026-05-15","え、温泉でも放射線浴びてるの？","36","1","0.0035","0","27","0","12.6","35","YouTube Studio CSV"
"2026-05-31","2026-06-07","uaBaEmqfmzE","2026-05-21","CTとMRI、同じ検査じゃない","44","1","0.0002","0","28","3.57","0.7","1.6","YouTube Studio CSV"
"2026-05-31","2026-06-07","ihD-yflBE84","2026-05-28","結果を聞くとき、何を質問すればいいか","41","0","0","0","14","0","","","YouTube Studio CSV"
"2026-05-31","2026-06-07","FhFULnBzOP4","2026-05-09","ＣＴ検査","28","0","0","","4","0","","","YouTube Studio CSV"
"2026-05-31","2026-06-07","ECyOLRqIiAs","2026-05-09","レントゲン１回って危険？","24","0","0","","2","0","","","YouTube Studio CSV"
"2026-05-31","2026-06-07","Gk5NRgqUMZQ","2026-05-13","自然放射線量は地域で違うって知ってた？","37","0","0","","4","0","","","YouTube Studio CSV"
"2026-05-31","2026-06-07","qLjkXUbK-tk","2026-05-16","レントゲン前の湿布、写ることがあります","39","0","0","","7","0","","","YouTube Studio CSV"
"2026-05-31","2026-06-07","vZXlrY1xq-U","2026-05-17","そのCT、本当に必要？","34","0","0","","8","0","","","YouTube Studio CSV"
"2026-05-31","2026-06-07","DE6f2MR9Mss","2026-05-18","救急でCT？命を守るために必要なことも","34","0","0","","13","0","","","YouTube Studio CSV"
