日付,OS,視聴回数
2026-07-12,Windows,4
2026-07-13,Windows,2
2026-07-14,Windows,4
2026-07-15,Windows,13
2026-07-16,Windows,8
2026-07-17,Windows,26
2026-07-18,Windows,10
2026-07-12,Android,74
2026-07-13,Android,51
2026-07-14,Android,117
2026-07-15,Android,314
2026-07-16,Android,194
2026-07-17,Android,304
2026-07-18,Android,186
2026-07-12,iOS,346
2026-07-13,iOS,199
2026-07-14,iOS,198
2026-07-15,iOS,291
2026-07-16,iOS,338
2026-07-17,iOS,387
2026-07-18,iOS,248
2026-07-12,Macintosh,1
2026-07-13,Macintosh,0
2026-07-14,Macintosh,1
2026-07-15,Macintosh,0
2026-07-16,Macintosh,2
2026-07-17,Macintosh,3
2026-07-18,Macintosh,2
2026-07-12,PlayStation,0
2026-07-13,PlayStation,0
2026-07-14,PlayStation,0
2026-07-15,PlayStation,0
2026-07-16,PlayStation,1
2026-07-17,PlayStation,0
2026-07-18,PlayStation,0
2026-07-12,WebOS,0
2026-07-13,WebOS,0
2026-07-14,WebOS,0
2026-07-15,WebOS,0
2026-07-16,WebOS,1
2026-07-17,WebOS,0
2026-07-18,WebOS,0
2026-07-12,スマート テレビ,0
2026-07-13,スマート テレビ,0
2026-07-14,スマート テレビ,1
2026-07-15,スマート テレビ,1
2026-07-16,スマート テレビ,2
2026-07-17,スマート テレビ,2
2026-07-18,スマート テレビ,0
2026-07-12,Chromecast,0
2026-07-13,Chromecast,0
2026-07-14,Chromecast,1
2026-07-15,Chromecast,0
2026-07-16,Chromecast,0
2026-07-17,Chromecast,0
2026-07-18,Chromecast,0
2026-07-12,Roku OS,0
2026-07-13,Roku OS,0
2026-07-14,Roku OS,0
2026-07-15,Roku OS,0
2026-07-16,Roku OS,0
2026-07-17,Roku OS,0
2026-07-18,Roku OS,0
2026-07-12,Nintendo Switch,0
2026-07-13,Nintendo Switch,0
2026-07-14,Nintendo Switch,0
2026-07-15,Nintendo Switch,0
2026-07-16,Nintendo Switch,0
2026-07-17,Nintendo Switch,1
2026-07-18,Nintendo Switch,1
2026-07-12,Amazon Fire OS,2
2026-07-13,Amazon Fire OS,3
2026-07-14,Amazon Fire OS,1
2026-07-15,Amazon Fire OS,3
2026-07-16,Amazon Fire OS,3
2026-07-17,Amazon Fire OS,1
2026-07-18,Amazon Fire OS,1
2026-07-12,ChromeOS,0
2026-07-13,ChromeOS,0
2026-07-14,ChromeOS,0
2026-07-15,ChromeOS,1
2026-07-16,ChromeOS,0
2026-07-17,ChromeOS,0
2026-07-18,ChromeOS,2
2026-07-12,Vidaa,0
2026-07-13,Vidaa,0
2026-07-14,Vidaa,1
2026-07-15,Vidaa,2
2026-07-16,Vidaa,1
2026-07-17,Vidaa,2
2026-07-18,Vidaa,0
