日付,コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
2026-07-12,YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,280
2026-07-13,YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,1
2026-07-14,YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,1
2026-07-15,YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,0
2026-07-16,YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,0
2026-07-17,YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,0
2026-07-18,YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,0
2026-07-12,fybSjgRq3x8,足の検査なのに、なぜ反対側の足も撮るの？#レントゲン #足の検査 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療豆知識 #患者さん向け #検査説明,"Jul 16, 2026",64,0
2026-07-13,fybSjgRq3x8,足の検査なのに、なぜ反対側の足も撮るの？#レントゲン #足の検査 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療豆知識 #患者さん向け #検査説明,"Jul 16, 2026",64,0
2026-07-14,fybSjgRq3x8,足の検査なのに、なぜ反対側の足も撮るの？#レントゲン #足の検査 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療豆知識 #患者さん向け #検査説明,"Jul 16, 2026",64,0
