コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
合計,,,,3379,14.6325,5,4001,2.8
taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,761,3.6926,0,169,2.37
fybSjgRq3x8,足の検査なのに、なぜ反対側の足も撮るの？#レントゲン #足の検査 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療豆知識 #患者さん向け #検査説明,"Jul 16, 2026",64,620,1.5364,0,128,1.56
nXHYAiXBru0,検査中に気分が悪くなったら、我慢しなくて大丈夫です#検査 #CT検査 #造影CT #放射線検査 #医療 #病院 #診療放射線技師 #検査の不安 #体調不良 #医療従事者 #健康管理 #患者さん向け,"Jul 15, 2026",63,580,5.1779,3,56,7.14
YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,282,0.4608,1,74,4.05
pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,275,0.5531,1,66,1.52
dH3DzkYMGEM,検査が不安なとき、どこまで伝えていいの？#診療放射線技師 #放射線検査 #レントゲン検査 #CT検査 #MRI検査 #検査前 #検査が不安 #医療情報 #病院受診 #子どもの検査 #大人の検査,"Jul 14, 2026",57,268,0.3792,0,68,7.35
3uaGjMkcFbU,同じ検査なのに撮り方が違う理由#診療放射線技師 #レントゲン #X線検査 #画像検査 #検査前の不安 #医療知識 #病院 #検査室 #患者さん向け #医療従事者 #放射線検査 #保存推奨,"Jul 18, 2026",68,189,0.5258,,32,3.13
nDDM0kBf-T4,動いてしまう子どもの検査、実際どうしてるの？#子どもの検査 #小児検査 #レントゲン #CT検査 #MRI検査 #検査の不安 #病院 #子育て #育児 #診療放射線技師 #医療 #医療従事者,"Jul 11, 2026",54,85,0.221,0,62,4.84
vmSq6QQOkLo,泣いている子、無理やり撮影するの？#診療放射線技師 #レントゲン #小児レントゲン #子どもの検査 #病院付き添い #検査の不安 #医療の豆知識 #子育てママ #子育てパパ #育児の不安 #保存推奨,"Jul 10, 2026",54,39,0.203,0,67,2.99
kIFIlJQJHoc,MRI検査中、これだけは知っておいてください#MRI #MRI検査 #検査前の不安 #放射線技師 #医療情報 #検査の豆知識 #患者さん向け #病院検査,"May 23, 2026",45,23,0.1811,0,164,5.49
0QMhezmENcQ,胸のレントゲン、肺だけ見ていると思っていませんか？#レントゲン #胸部レントゲン #胸部X線 #診療放射線技師 #放射線検査 #医療知識 #検査の疑問 #健康診断 #心臓 #肺 #CT #医療系リール,"Jul 7, 2026",53,22,0.0867,0,246,1.22
