日付,デバイスのタイプ,視聴回数
2026-07-12,パソコン,5
2026-07-13,パソコン,2
2026-07-14,パソコン,5
2026-07-15,パソコン,14
2026-07-16,パソコン,10
2026-07-17,パソコン,30
2026-07-18,パソコン,14
2026-07-12,テレビ,7
2026-07-13,テレビ,5
2026-07-14,テレビ,7
2026-07-15,テレビ,23
2026-07-16,テレビ,11
2026-07-17,テレビ,16
2026-07-18,テレビ,15
2026-07-12,携帯電話,351
2026-07-13,携帯電話,213
2026-07-14,携帯電話,274
2026-07-15,携帯電話,547
2026-07-16,携帯電話,473
2026-07-17,携帯電話,627
2026-07-18,携帯電話,394
2026-07-12,タブレット,69
2026-07-13,タブレット,35
2026-07-14,タブレット,39
2026-07-15,タブレット,45
2026-07-16,タブレット,56
2026-07-17,タブレット,60
2026-07-18,タブレット,28
