日付,トラフィック ソース,視聴回数
2026-07-12,直接入力または不明,0
2026-07-13,直接入力または不明,0
2026-07-14,直接入力または不明,0
2026-07-15,直接入力または不明,0
2026-07-16,直接入力または不明,0
2026-07-17,直接入力または不明,0
2026-07-18,直接入力または不明,0
2026-07-12,ブラウジング機能,9
2026-07-13,ブラウジング機能,7
2026-07-14,ブラウジング機能,9
2026-07-15,ブラウジング機能,9
2026-07-16,ブラウジング機能,6
2026-07-17,ブラウジング機能,7
2026-07-18,ブラウジング機能,5
2026-07-12,チャンネル ページ,0
2026-07-13,チャンネル ページ,0
2026-07-14,チャンネル ページ,0
2026-07-15,チャンネル ページ,0
2026-07-16,チャンネル ページ,2
2026-07-17,チャンネル ページ,0
2026-07-18,チャンネル ページ,2
2026-07-12,YouTube 検索,50
2026-07-13,YouTube 検索,39
2026-07-14,YouTube 検索,41
2026-07-15,YouTube 検索,40
2026-07-16,YouTube 検索,48
2026-07-17,YouTube 検索,44
2026-07-18,YouTube 検索,31
2026-07-12,関連動画,0
2026-07-13,関連動画,0
2026-07-14,関連動画,1
2026-07-15,関連動画,0
2026-07-16,関連動画,1
2026-07-17,関連動画,0
2026-07-18,関連動画,1
2026-07-12,その他の YouTube 機能,0
2026-07-13,その他の YouTube 機能,1
2026-07-14,その他の YouTube 機能,0
2026-07-15,その他の YouTube 機能,0
2026-07-16,その他の YouTube 機能,1
2026-07-17,その他の YouTube 機能,6
2026-07-18,その他の YouTube 機能,4
2026-07-12,外部,0
2026-07-13,外部,0
2026-07-14,外部,0
2026-07-15,外部,1
2026-07-16,外部,0
2026-07-17,外部,0
2026-07-18,外部,0
2026-07-12,ショート フィード,372
2026-07-13,ショート フィード,208
2026-07-14,ショート フィード,274
2026-07-15,ショート フィード,579
2026-07-16,ショート フィード,493
2026-07-17,ショート フィード,675
2026-07-18,ショート フィード,408
2026-07-12,ハッシュタグのページ,1
2026-07-13,ハッシュタグのページ,0
2026-07-14,ハッシュタグのページ,0
2026-07-15,ハッシュタグのページ,1
2026-07-16,ハッシュタグのページ,0
2026-07-17,ハッシュタグのページ,1
2026-07-18,ハッシュタグのページ,1
