日付,再生場所,視聴回数
2026-07-12,YouTube 動画再生ページ,2
2026-07-13,YouTube 動画再生ページ,1
2026-07-14,YouTube 動画再生ページ,2
2026-07-15,YouTube 動画再生ページ,2
2026-07-16,YouTube 動画再生ページ,2
2026-07-17,YouTube 動画再生ページ,2
2026-07-18,YouTube 動画再生ページ,1
2026-07-12,ブラウジング機能,0
2026-07-13,ブラウジング機能,0
2026-07-14,ブラウジング機能,0
2026-07-15,ブラウジング機能,0
2026-07-16,ブラウジング機能,0
2026-07-17,ブラウジング機能,0
2026-07-18,ブラウジング機能,0
2026-07-12,ショート フィード,430
2026-07-13,ショート フィード,254
2026-07-14,ショート フィード,323
2026-07-15,ショート フィード,628
2026-07-16,ショート フィード,549
2026-07-17,ショート フィード,731
2026-07-18,ショート フィード,451
