日付,28 日間の新規視聴者数,28 日間のライトな視聴者数,28 日間のコアな視聴者数
2026-06-21,1559,260,0
2026-06-22,1373,115,0
2026-06-23,1345,25,0
2026-06-24,1365,24,0
2026-06-25,1667,25,0
2026-06-26,1728,21,0
2026-06-27,1717,23,0
2026-06-28,1803,22,0
2026-06-29,1798,22,0
2026-06-30,1829,19,0
2026-07-01,1866,21,0
2026-07-02,1930,23,0
2026-07-03,2142,28,0
2026-07-04,2102,29,0
2026-07-05,2078,30,0
2026-07-06,2066,32,0
2026-07-07,2369,40,0
2026-07-08,2696,39,0
2026-07-09,2917,50,0
2026-07-10,3124,53,0
2026-07-11,3326,64,0
2026-07-12,3404,66,0
2026-07-13,3103,79,0
2026-07-14,3136,79,0
2026-07-15,3288,82,0
2026-07-16,3376,86,0
2026-07-17,3534,92,0
