コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
合計,,,,5939,21.0961,2,5048,3.27
2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,1045,2.7719,1,82,2.44
1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,974,3.3714,1,53,1.89
uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,868,3.7334,0,199,1.51
6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,786,2.7291,,136,3.68
 -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,743,2.4857,1,52,0
Rx0cJ0WhmfY,紹介状やお薬手帳、なぜ検査前に確認するの？　#紹介状 #お薬手帳 #検査前 #医療の疑問 #患者さん向け #放射線検査 #診療放射線技師,"Aug 4, 2026",54,461,0.4873,0,22,0
tQ0vaLaXFLk,高齢者が転んだあと 痛みが軽くても検査する理由　#転倒 #高齢者 #骨折 #レントゲン #X線検査 #検査の不安 #診療放射線技師,"Aug 6, 2026",50,257,1.1888,0,32,6.25
Mo1KCbY0KQg,MRIの狭い筒がこわいとき、先に伝えて大丈夫です　#MRI検査 #閉所不安 #閉所恐怖症 #検査前の不安 #医療の不安 #放射線検査 #診療放射線技師,"Jul 31, 2026",42,252,0.7149,0,201,2.99
JtwA78OWaew,レントゲンのあとCTを追加するのは、失敗だったから？　#レントゲン #CT検査 #骨折 #整形外科 #追加検査 #検査の不安 #患者さん向け #診療放射線技師,"Aug 7, 2026",56,82,0.0722,0,35,8.57
kIFIlJQJHoc,MRI検査中、これだけは知っておいてください#MRI #MRI検査 #検査前の不安 #放射線技師 #医療情報 #検査の豆知識 #患者さん向け #病院検査,"May 23, 2026",45,53,0.3655,0,265,9.81
qr_fOqwZKPs,マンモの結果、何と書いてあったら受診が必要？#マンモグラフィー #乳がん検診 #乳がん検査 #検査結果 #要精密検査 #乳腺外科 #女性の健康 #医療情報 #検査の不安 #診療放射線技師 #安心解説,"Jun 17, 2026",60,32,0.1332,0,332,1.81
lZ5mDgQYSmI,造影剤って何のために使うの？#CT検査 #造影CT #造影剤 #検査前の不安 #医療解説 #病院検査 #診療放射線技師 #健康診断 #検査の不安 #患者さん向け #放射線検査,"Jun 28, 2026",86,31,0.331,0,160,8.75
HeiyhU2VUJs,検査中に苦しくなったら、我慢しないで｜伝え方のポイント　#MRI #MRI検査 #検査の不安 #検査前 #患者さんへ #医療情報 #診療放射線技師,"Jul 28, 2026",44,25,0.0489,0,42,2.38
AUUfu1AyUas,MRIの音、壊れてるわけじゃありません#MRI検査#MRI#放射線技師#検査前の不安#医療知識#病院#健康情報#検査#医療#安心して検査,"May 23, 2026",52,22,0.0953,0,181,4.42
T1L_9OLXHdE,マンモで要精密検査、次に何をする？#マンモグラフィ#マンモ#乳がん検診#要精密検査#乳腺外来#乳腺外科#乳腺エコー#検診結果#健康診断#医療知識#検査の不安#患者さん向け#医療系リール,"Jun 27, 2026",49,22,0.0887,0,226,2.21
a9Yf4GjCv0o,検査着に着替えるの 少し恥ずかしい　#検査着 #検査前の不安 #病院検査 #レントゲン検査 #CT検査 #MRI検査 #患者さんへ #診療放射線技師,"Jul 30, 2026",40,21,0.0797,0,119,2.52
dhxxEemmfIk,骨密度検査、かかとで測るの？腰で測るの？#骨密度検査 #DXA法 #骨粗しょう症予防 #健康診断 #診療放射線技師 #検査の不安を安心に #医療知識 #骨の健康,"Jun 12, 2026",51,21,0.0991,0,108,7.41
