日付,コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
2026-08-01, -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,739
2026-08-02, -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,2
2026-08-03, -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,1
2026-08-04, -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,0
2026-08-05, -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,1
2026-08-06, -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,0
2026-08-07, -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,0
2026-08-08, -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,0
2026-08-01,1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,0
2026-08-02,1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,961
2026-08-03,1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,2
2026-08-04,1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,0
2026-08-05,1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,2
2026-08-06,1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,7
2026-08-07,1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,1
2026-08-08,1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,1
2026-08-01,2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,0
2026-08-02,2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,0
2026-08-03,2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,0
2026-08-04,2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,0
2026-08-05,2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,1030
2026-08-06,2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,10
2026-08-07,2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,5
2026-08-08,2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,0
2026-08-01,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-02,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-03,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-04,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-05,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
2026-08-06,6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,0
