日付,チャンネル登録元,チャンネル登録者
2026-08-01,その他,0
2026-08-02,その他,0
2026-08-03,その他,0
2026-08-04,その他,0
2026-08-05,その他,-1
2026-08-06,その他,0
2026-08-07,その他,0
2026-08-08,その他,0
2026-08-01,登録チャンネル リスト,0
2026-08-02,登録チャンネル リスト,0
2026-08-03,登録チャンネル リスト,0
2026-08-04,登録チャンネル リスト,0
2026-08-05,登録チャンネル リスト,0
2026-08-06,登録チャンネル リスト,0
2026-08-07,登録チャンネル リスト,-1
2026-08-08,登録チャンネル リスト,0
2026-08-01,ショート フィード,2
2026-08-02,ショート フィード,1
2026-08-03,ショート フィード,0
2026-08-04,ショート フィード,0
2026-08-05,ショート フィード,1
2026-08-06,ショート フィード,0
2026-08-07,ショート フィード,0
2026-08-08,ショート フィード,0
