日付,トラフィック ソース,視聴回数
2026-08-01,直接入力または不明,0
2026-08-02,直接入力または不明,0
2026-08-03,直接入力または不明,0
2026-08-04,直接入力または不明,0
2026-08-05,直接入力または不明,0
2026-08-06,直接入力または不明,0
2026-08-07,直接入力または不明,0
2026-08-08,直接入力または不明,0
2026-08-01,ブラウジング機能,3
2026-08-02,ブラウジング機能,2
2026-08-03,ブラウジング機能,3
2026-08-04,ブラウジング機能,0
2026-08-05,ブラウジング機能,0
2026-08-06,ブラウジング機能,3
2026-08-07,ブラウジング機能,2
2026-08-08,ブラウジング機能,5
2026-08-01,チャンネル ページ,4
2026-08-02,チャンネル ページ,25
2026-08-03,チャンネル ページ,0
2026-08-04,チャンネル ページ,0
2026-08-05,チャンネル ページ,16
2026-08-06,チャンネル ページ,1
2026-08-07,チャンネル ページ,0
2026-08-08,チャンネル ページ,5
2026-08-01,YouTube 検索,54
2026-08-02,YouTube 検索,57
2026-08-03,YouTube 検索,45
2026-08-04,YouTube 検索,55
2026-08-05,YouTube 検索,69
2026-08-06,YouTube 検索,73
2026-08-07,YouTube 検索,56
2026-08-08,YouTube 検索,56
2026-08-01,その他の YouTube 機能,0
2026-08-02,その他の YouTube 機能,4
2026-08-03,その他の YouTube 機能,1
2026-08-04,その他の YouTube 機能,0
2026-08-05,その他の YouTube 機能,2
2026-08-06,その他の YouTube 機能,1
2026-08-07,その他の YouTube 機能,0
2026-08-08,その他の YouTube 機能,4
2026-08-01,外部,0
2026-08-02,外部,0
2026-08-03,外部,0
2026-08-04,外部,3
2026-08-05,外部,0
2026-08-06,外部,0
2026-08-07,外部,0
2026-08-08,外部,0
2026-08-01,通知,0
2026-08-02,通知,0
2026-08-03,通知,0
2026-08-04,通知,0
2026-08-05,通知,0
2026-08-06,通知,0
2026-08-07,通知,0
2026-08-08,通知,0
2026-08-01,ショート フィード,940
2026-08-02,ショート フィード,991
2026-08-03,ショート フィード,864
2026-08-04,ショート フィード,458
2026-08-05,ショート フィード,1015
2026-08-06,ショート フィード,260
2026-08-07,ショート フィード,82
2026-08-08,ショート フィード,767
2026-08-01,ハッシュタグのページ,0
2026-08-02,ハッシュタグのページ,1
2026-08-03,ハッシュタグのページ,0
2026-08-04,ハッシュタグのページ,0
2026-08-05,ハッシュタグのページ,1
2026-08-06,ハッシュタグのページ,0
2026-08-07,ハッシュタグのページ,0
2026-08-08,ハッシュタグのページ,0
2026-08-01,音声のページ,1
2026-08-02,音声のページ,0
2026-08-03,音声のページ,0
2026-08-04,音声のページ,0
2026-08-05,音声のページ,0
2026-08-06,音声のページ,0
2026-08-07,音声のページ,0
2026-08-08,音声のページ,0
