日付,視聴行動別の視聴者区分,視聴回数
2026-08-01,不明,0
2026-08-02,不明,0
2026-08-03,不明,0
2026-08-04,不明,0
2026-08-05,不明,0
2026-08-06,不明,0
2026-08-07,不明,0
2026-08-08,不明,0
2026-08-01,新しい視聴者数,988
2026-08-02,新しい視聴者数,1073
2026-08-03,新しい視聴者数,913
2026-08-04,新しい視聴者数,513
2026-08-05,新しい視聴者数,1101
2026-08-06,新しい視聴者数,335
2026-08-07,新しい視聴者数,136
2026-08-08,新しい視聴者数,0
2026-08-01,ライトな視聴者,14
2026-08-02,ライトな視聴者,7
2026-08-03,ライトな視聴者,0
2026-08-04,ライトな視聴者,3
2026-08-05,ライトな視聴者,2
2026-08-06,ライトな視聴者,3
2026-08-07,ライトな視聴者,4
2026-08-08,ライトな視聴者,0
