日付,コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
2026-08-22,ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,0
2026-08-23,ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,0
2026-08-24,ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,0
2026-08-25,ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,0
2026-08-26,ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,0
2026-08-27,ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,0
2026-08-28,ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,0
2026-08-29,ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,931
2026-08-22,I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,0
2026-08-23,I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,0
2026-08-24,I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,0
2026-08-25,I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,860
2026-08-26,I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,3
2026-08-27,I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,2
2026-08-28,I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,3
2026-08-29,I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,1
2026-08-22,d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,0
2026-08-23,d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,0
2026-08-24,d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,0
2026-08-25,d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,0
2026-08-26,d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,0
2026-08-27,d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,849
2026-08-28,d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,15
2026-08-29,d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,7
2026-08-22,mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,0
2026-08-23,mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,0
2026-08-24,mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,778
2026-08-25,mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,86
2026-08-26,mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,15
2026-08-27,mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,0
2026-08-28,mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,0
2026-08-29,mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,0
2026-08-22,o2ya0Ces4IA,レントゲンに写るもの・写りにくいもの  #レントゲン #X線検査 #画像検査 #検査の不安 #医療知識 #患者さん向け #診療放射線技師,"Aug 22, 2026",62,526
2026-08-23,o2ya0Ces4IA,レントゲンに写るもの・写りにくいもの  #レントゲン #X線検査 #画像検査 #検査の不安 #医療知識 #患者さん向け #診療放射線技師,"Aug 22, 2026",62,376
2026-08-24,o2ya0Ces4IA,レントゲンに写るもの・写りにくいもの  #レントゲン #X線検査 #画像検査 #検査の不安 #医療知識 #患者さん向け #診療放射線技師,"Aug 22, 2026",62,4
