コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,サムネイルのインプレッション,サムネイルのクリック率 (%)
合計,,,,5976,16.3732,3,5002,3.1
ELkiygDKzNs,痛い姿勢、我慢しなくて大丈夫です　#レントゲン検査 #検査の不安 #痛みがある時 #医療検査 #患者さん向け #診療放射線技師 #検査前に知っておきたい,"Aug 29, 2026",47,931,1.1079,1,35,2.86
o2ya0Ces4IA,レントゲンに写るもの・写りにくいもの  #レントゲン #X線検査 #画像検査 #検査の不安 #医療知識 #患者さん向け #診療放射線技師,"Aug 22, 2026",62,913,3.5228,0,150,2
mSwgSWGorcg,「もう一回撮ります」と言われて不安になったら #レントゲン #放射線検査 #検査不安 #再撮影 #医療知識 #患者さん向け #診療放射線技師,"Aug 24, 2026",61,879,1.6871,1,58,0
d1Ic_rEeeW8,横向きになってください」が痛くて無理な時　#レントゲン検査 #一般撮影 #検査の不安 #痛みがある時 #患者さん向け #診療放射線技師 #医療知識 #検査前に確認,"Aug 27, 2026",53,871,1.2196,1,230,0.87
I6nYggTlv-M,息の止め方、うまくできなくても大丈夫？　#胸部レントゲン #レントゲン検査 #息止め #検査の不安 #医療検査 #診療放射線技師 #検査前に知りたい,"Aug 25, 2026",67,869,1.9362,0,108,6.48
sizZbPZPxTQ,角度を変えて撮影しますと言われて不安になったら　#レントゲン #X線検査 #検査の不安 #再撮影 #医療検査 #診療放射線技師 #検査前に知っておきたい,"Aug 26, 2026",68,757,4.03,0,103,0.97
XMmjeQzv_BU,「異常なし」と言われた後、どうすればいい？　#異常なし #検査結果 #痛みが続く #レントゲン #医療相談 #患者さんの不安 #診療放射線技師,"Aug 23, 2026",57,196,0.235,0,64,3.13
kIFIlJQJHoc,MRI検査中、これだけは知っておいてください#MRI #MRI検査 #検査前の不安 #放射線技師 #医療情報 #検査の豆知識 #患者さん向け #病院検査,"May 23, 2026",45,77,0.4491,0,366,5.74
3FrvK49HQBE,体をひねる指示、痛みで途中までしかできない時 #レントゲン検査 #放射線検査 #検査の不安 #痛みがある時 #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 28, 2026",58,67,0.0518,0,5,0
qr_fOqwZKPs,マンモの結果、何と書いてあったら受診が必要？#マンモグラフィー #乳がん検診 #乳がん検査 #検査結果 #要精密検査 #乳腺外科 #女性の健康 #医療情報 #検査の不安 #診療放射線技師 #安心解説,"Jun 17, 2026",60,32,0.1519,0,342,2.05
lZ5mDgQYSmI,造影剤って何のために使うの？#CT検査 #造影CT #造影剤 #検査前の不安 #医療解説 #病院検査 #診療放射線技師 #健康診断 #検査の不安 #患者さん向け #放射線検査,"Jun 28, 2026",86,29,0.2724,0,204,6.86
4szH2c2pfHE,造影剤の副作用やアレルギーが怖い方へ#造影剤 #造影CT #CT検査 #検査前の不安 #医療知識 #健康診断 #画像検査 #病院検査 #診療放射線技師 #不安を減らす医療情報,"Jun 30, 2026",80,23,0.202,0,197,5.08
AUUfu1AyUas,MRIの音、壊れてるわけじゃありません#MRI検査#MRI#放射線技師#検査前の不安#医療知識#病院#健康情報#検査#医療#安心して検査,"May 23, 2026",52,21,0.0808,0,108,2.78
Mo1KCbY0KQg,MRIの狭い筒がこわいとき、先に伝えて大丈夫です　#MRI検査 #閉所不安 #閉所恐怖症 #検査前の不安 #医療の不安 #放射線検査 #診療放射線技師,"Jul 31, 2026",42,21,0.1055,0,122,2.46
a9Yf4GjCv0o,検査着に着替えるの 少し恥ずかしい　#検査着 #検査前の不安 #病院検査 #レントゲン検査 #CT検査 #MRI検査 #患者さんへ #診療放射線技師,"Jul 30, 2026",40,20,0.0556,0,106,6.6
JD7DHcAXUiI,CT造影剤 体が熱くなるのは大丈夫?#CT検査 #造影CT #造影剤 #造影剤検査 #検査前の不安 #医療情報 #病院検査 #診療放射線技師 #患者さん向け #検査の不安解消 #CT造影剤 #保存推奨,"Jul 3, 2026",102,16,0.1762,0,137,5.84
T1L_9OLXHdE,マンモで要精密検査、次に何をする？#マンモグラフィ#マンモ#乳がん検診#要精密検査#乳腺外来#乳腺外科#乳腺エコー#検診結果#健康診断#医療知識#検査の不安#患者さん向け#医療系リール,"Jun 27, 2026",49,15,0.0689,0,211,2.84
dhxxEemmfIk,骨密度検査、かかとで測るの？腰で測るの？#骨密度検査 #DXA法 #骨粗しょう症予防 #健康診断 #診療放射線技師 #検査の不安を安心に #医療知識 #骨の健康,"Jun 12, 2026",51,15,0.0735,0,73,6.85
joEVvM6S3bI,骨は折れていないのに、なぜ痛いの？ #レントゲン #骨折 #痛み #検査後の不安 #整形外科 #医療知識 #診療放射線技師,"Aug 21, 2026",52,15,0.015,0,115,0
zDz8Oj91GRE,造影CTの前に、家族が確認したい3つ#造影CT #造影剤 #CT検査 #医療知識 #健康リテラシー #放射線技師 #病院 #検査 #医療の話 #ヘルスリテラシー,"May 21, 2026",37,13,0.0792,0,111,4.5
skFRoPNX4A8,CTって何分くらいかかるの？#CT検査 #単純CT #造影CT #検査時間 #検査の不安 #医療知識 #病院検査 #診療放射線技師 #検査前に知っておきたい #患者さん向け #医療情報 #不安解消,"Jul 2, 2026",112,11,0.2094,0,54,5.56
c39Qn8d86jw,造影剤の検査後、水分をとるように言われる理由 #造影剤 #造影CT #CT検査 #検査後 #水分補給 #医療の不安 #診療放射線技師,"Aug 9, 2026",55,10,0.0961,0,62,9.68
 -nyM6wTIpv4,高濃度乳房ならエコー？検査の選び方は人によって違います#マンモグラフィー #高濃度乳房 #乳腺エコー #乳がん検診 #乳がん検査 #検査結果 #病院検査 #診療放射線技師 #検査の不安#保存推奨,"Jun 10, 2026",47,8,0.0259,0,69,2.9
0QMhezmENcQ,胸のレントゲン、肺だけ見ていると思っていませんか？#レントゲン #胸部レントゲン #胸部X線 #診療放射線技師 #放射線検査 #医療知識 #検査の疑問 #健康診断 #心臓 #肺 #CT #医療系リール,"Jul 7, 2026",53,8,0.0179,0,86,0
AO4RJNu-GuU,マンモと乳腺エコー、どっちがいい？ 得意なことが違います#マンモグラフィー #乳腺エコー #乳がん検診 #乳がん検査 #検査前 #病院検査 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 8, 2026",38,7,0.0121,0,53,3.77
taElWjGBZGI,骨折の診断、レントゲンだけじゃダメなの？#レントゲン #骨折 #CT検査 #MRI検査 #画像診断 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療系リール #保存推奨,"Jul 17, 2026",67,7,0.0339,0,81,1.23
09YwOnxH3BY,MRI検査前に必ず知っておいてほしいこと#MRI #MRI検査 #検査前の不安 #ペースメーカー #人工内耳 #医療情報 #放射線技師 #患者さん向け #病院検査 #検査の豆知識,"May 24, 2026",55,7,0.0423,0,56,7.14
YMCA_PsbXY4,マンモグラフィーで胸を圧迫するのはなぜ？大切な理由があります#マンモグラフィー #乳がん検診 #乳がん検査 #検査前 #病院検査 #医療知識 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 7, 2026",41,5,0.0104,0,58,3.45
M2b9EXtwSZI,え、温泉でも放射線浴びてるの？#診療放射線技師 #放射線 #ラドン温泉 #ラジウム温泉 #温泉 #医療雑学 #自然放射線 #安心ラボ,"May 15, 2026",36,5,0.0088,0,43,0
Rqn_A9TUp9Y,レントゲンで異常なし。でも痛みが続くのはなぜ？　#レントゲン #レントゲン検査 #検査結果 #異常なし #痛み #病院 #診療放射線技師,"Aug 20, 2026",59,5,0.0266,0,128,1.56
2qQ-cuxoF4U,検査中に咳が出そうなとき、我慢しなくて大丈夫？ #CT検査 #MRI検査 #検査中の不安 #咳が出そう #検査前に知りたい #患者さん向け #診療放射線技師,"Aug 5, 2026",58,5,0.0268,0,27,7.41
QzmHHOY84_g,立ち上がるのに時間がかかる時、急がなくて大丈夫です　#レントゲン検査 #検査室 #検査の不安 #患者さん向け #高齢者の検査 #医療従事者と患者さん #診療放射線技師,"Aug 23, 2026",48,5,0.0301,0,2,0
y_bN4gYAbOA,MRI室に車椅子を持ち込むとどうなる？#MRI #MRI検査 #放射線技師 #診療放射線技師 #検査前 #金属チェック #医療知識 #医療雑学 #不安解消,"May 22, 2026",55,5,0.0048,0,36,0
vmSq6QQOkLo,泣いている子、無理やり撮影するの？#診療放射線技師 #レントゲン #小児レントゲン #子どもの検査 #病院付き添い #検査の不安 #医療の豆知識 #子育てママ #子育てパパ #育児の不安 #保存推奨,"Jul 10, 2026",54,5,0.0157,0,18,0
c-YhHFPccVw,CTを撮ったのに、なぜMRIも必要なの？#CT検査 #MRI検査 #医療知識 #検査の不安 #画像検査 #診療放射線技師 #病院の検査 #検査前の不安 #医療をわかりやすく #安心して検査へ,"Jun 15, 2026",54,5,0.0057,0,17,0
nDDM0kBf-T4,動いてしまう子どもの検査、実際どうしてるの？#子どもの検査 #小児検査 #レントゲン #CT検査 #MRI検査 #検査の不安 #病院 #子育て #育児 #診療放射線技師 #医療 #医療従事者,"Jul 11, 2026",54,4,0.0177,0,27,3.7
43EsE8xRmBM,検査当日の持ち物チェック#検査前の準備 #病院の持ち物 #放射線技師 #MRI検査 #CT検査 #医療知識 #検査当日 #保存推奨,"May 31, 2026",60,4,0.0173,0,13,7.69
AOsJBz9s3nY,レントゲンとCTって何が違うの?#レントゲン #CT検査 #画像検査 #診療放射線技師 #医療知識 #検査前の不安 #病院 #健康診断,"Jun 25, 2026",59,4,0.0252,0,36,2.78
suG27BPKF9g,乳がん検診、何歳から受ければいいの？#乳がん検診 #マンモグラフィ #乳がん #乳腺外科 #婦人科 #検診 #健康診断 #女性の健康 #30.40代女性 #医療情報 #検査の不安 #診療放射線技師,"Jun 16, 2026",57,4,0.0026,0,54,1.85
fRdBecey4kU,エコーって被ばくする？実は放射線ゼロの検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #放射線技師 #検査の不安 #保存推奨,"Jun 2, 2026",52,4,0.0209,0,15,13.33
F-cvsMA6nuQ,腎機能が低下していると、造影剤は使えないの？#造影CT #造影剤 #CT検査 #腎機能 #透析 #医療検査 #検査の不安 #診療放射線技師 #病院検査 #医療知識,"Jul 1, 2026",104,4,0.0228,0,43,2.33
M82RSRKsV_E,車椅子で検査へ行く時、家族が先に伝えると助かること　#車椅子 #検査前の不安 #付き添い家族 #高齢の親 #医療検査 #レントゲン検査 #CT検査 #診療放射線技師,"Aug 13, 2026",62,3,0.002,0,11,0
xmPCjRJHdWU,検査前にアクセサリーを外すのはなぜ?#検査前 #アクセサリー #MRI検査 #CT検査 #レントゲン #画像検査 #診療放射線技師 #病院検査 #医療知識 #検査の不安 #患者さん向け #健康診断,"Jul 4, 2026",76,3,0.0033,0,25,8
mlkNWVz1dI4,骨密度が低い＝すぐ骨折？ではありません#骨密度検査 #骨密度 #骨粗しょう症予防 #骨折予防 #DXA #健康診断 #検査の不安 #医療解説 #診療放射線技師 #保存推奨,"Jun 14, 2026",46,3,0.0125,0,19,10.53
xHyxEL7QilQ,車椅子の親、検査台への移動が不安な時　#車椅子 #付き添い #検査前の不安 #親の検査 #病院付き添い #放射線検査 #診療放射線技師,"Aug 19, 2026",53,3,0.0037,0,17,5.88
zJ0TEpESQKw,CT検査前の絶食と水分制限はなぜ必要？#CT検査 #造影CT #検査前準備 #絶食 #水分制限 #薬の確認 #医療情報 #検査の不安 #診療放射線技師 #患者さん向け #医療解説,"Jun 29, 2026",73,3,0.0399,0,59,3.39
LLT3ZuuCYKg,ギプスのままレントゲンは撮れるの？#レントゲン #X線検査 #ギプス #骨折 #整形外科 #検査の不安 #医療知識 #診療放射線技師 #病院検査 #健康情報,"Jul 20, 2026",60,3,0.0328,0,25,0
7RWe3mF_GrE,胸部X線で何がわかるの？#胸部X線#レントゲン#胸のレントゲン#肺#心臓#肋骨#健診#検査前の不安#医療知識#診療放射線技師#放射線検査#病院#健康診断,"Jun 22, 2026",43,3,0.001,0,37,0
 -srnUvQ8rs0,健診で、かかとに音波を当てるのはなぜ？#骨密度検査 #骨密度 #骨粗鬆症予防 #健診 #健康診断 #かかと検査 #超音波検査 #女性の健康 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 11, 2026",41,2,0.0019,0,34,2.94
C7Bdw_taUVE,CTは悪者？撮れば安心？大切なのは「目的」です。#CT検査 #放射線 #被ばく #医療知識 #健康リテラシー #検査 #画像検査 #病院 #医療の話 #医師に相談 #健康管理 #医療リテラシー,"May 20, 2026",31,2,0.0026,0,18,0
YIa_vpMzVik,小さい子でも被ばくは大丈夫？#小児検査 #子どもの検査 #レントゲン検査 #CT検査 #放射線検査 #被ばく #医療の不安 #検査の不安 #診療放射線技師 #病院 #子育て #保存推奨,"Jul 12, 2026",58,2,0.0018,0,41,0
q-8bDBq9O7A,なぜ息を吸って止めるの？#レントゲン #胸部レントゲン #胸部X線 #放射線検査 #診療放射線技師 #検査前の不安 #医療知識 #健康診断 #病院検査 #安心して検査,"Jun 24, 2026",61,2,0.0116,0,17,5.88
DE6f2MR9Mss,救急でCT？命を守るために必要なことも#CT検査 #救急医療 #外傷 #全身CT #放射線 #医療知識 #健康リテラシー #検査 #病院 #医療の話,"May 18, 2026",34,2,0.002,0,22,0
Ff7Ib8ASbYE,「再検査」と言われたときに知っておいてほしいこと#再検査#検査結果#検査後の不安#病院あるある#医療の不安#CT検査#MRI検査#画像検査#診療放射線技師##健康診断#医療知識#不安解消#保存推奨,"May 26, 2026",44,2,0.0167,0,7,14.29
Xslt2TVY6Dc,抱っこしたまま検査に付き添っても大丈夫？#レントゲン #小児検査 #子どもの検査 #付き添い検査 #医療情報 #診療放射線技師 #検査の不安 #子育て #育児 #病院付き添い,"Jul 9, 2026",55,2,0.0003,0,15,0
8bQbSVD8pZQ,レントゲンで服のしわやボタンは写るの？#レントゲン #X線検査 #放射線検査 #診療放射線技師 #検査前 #検査の疑問 #医療知識 #病院検査 #健康診断 #患者さん向け,"Jul 6, 2026",55,2,0.0126,0,15,6.67
yCoseKNslvc,検査中に動いてしまった、大丈夫？#レントゲン #CT検査 #放射線検査 #検査前の不安 #医療知識 #病院あるある #患者さんへ #診療放射線技師 #検査の疑問 #健康診断,"Jul 8, 2026",53,2,0.0009,0,17,0
ECyOLRqIiAs,レントゲン１回って危険？,"May 9, 2026",24,2,0.0003,0,1,0
3iT9Z0f05Es,親の着替えが不安な時 付き添い家族が先に伝えたいこと　#親の検査 #付き添い家族 #検査前の不安 #高齢の親 #病院付き添い #医療検査 #検査着 #診療放射線技師,"Aug 15, 2026",57,2,0.0011,0,18,0
HeiyhU2VUJs,検査中に苦しくなったら、我慢しないで｜伝え方のポイント　#MRI #MRI検査 #検査の不安 #検査前 #患者さんへ #医療情報 #診療放射線技師,"Jul 28, 2026",44,2,0.0126,0,17,0
Hafx67_MD-U,妊娠しているかも…検査前に言って大丈夫？#妊娠の可能性 #レントゲン検査 #CT検査 #検査前の不安 #病院あるある #医療知識 #診療放射線技師,"Jul 26, 2026",53,2,0.0026,0,9,0
A3S6inCBrZ4,エコーは被ばくする？放射線を使わない検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #保存推奨,"Jun 5, 2026",46,1,0.0046,0,15,6.67
qLjkXUbK-tk,レントゲン前の湿布、写ることがあります #Shorts#診療放射線技師#レントゲン#レントゲン検査#医療雑学#病院の豆知識#検査前#湿布#カイロ#健康情報,"May 16, 2026",39,1,0,0,9,11.11
pWMBrIXPjpo,検査前、子どもにどう説明すればいい？#診療放射線技師 #放射線検査 #小児検査 #子どもの検査 #検査前 #レントゲン検査  #医療知識 #子育て #育児 #病院受診 #検査の不安#保存推奨,"Jul 13, 2026",60,1,0.0002,0,14,7.14
FhFULnBzOP4,ＣＴ検査,"May 9, 2026",28,1,0.0006,0,18,0
MTviviSD5Gg,レントゲンで再撮影になるのは失敗ですか？#レントゲン #X線検査 #再撮影 #放射線検査 #診療放射線技師 #検査の不安 #病院検査 #医療知識 #患者さん向け #検査前に知っておきたいこと,"Jul 5, 2026",68,1,0.0072,0,8,12.5
b5xkAwZEHM8,エコーのゼリー、実は画像を見やすくするためです#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 3, 2026",47,1,0.0048,0,9,11.11
wWvydoTv8YM,親の検査当日、家族はどこで待つ？　#検査付き添い #親の検査 #家族の付き添い #検査前の不安 #病院付き添い #医療不安 #診療放射線技師,"Aug 18, 2026",49,1,0.0009,0,20,0
tQ0vaLaXFLk,高齢者が転んだあと 痛みが軽くても検査する理由　#転倒 #高齢者 #骨折 #レントゲン #X線検査 #検査の不安 #診療放射線技師,"Aug 6, 2026",50,1,0.0036,0,8,12.5
6h9ZH70jW3U,前の病院でも撮ったのに、また撮るんですか？　#レントゲン #骨折 #整形外科 #経過観察 #医療検査 #検査の不安 #診療放射線技師,"Aug 8, 2026",57,1,0.0008,0,24,0
 -zjp7Kqq-xU,レントゲンって、実は人の名前だった？#レントゲン #X線写真 #X線検査 #医療豆知識 #検査の豆知識 #放射線検査 #診療放射線技師,"Jul 25, 2026",82,1,0.0006,0,13,0
3uaGjMkcFbU,同じ検査なのに撮り方が違う理由#診療放射線技師 #レントゲン #X線検査 #画像検査 #検査前の不安 #医療知識 #病院 #検査室 #患者さん向け #医療従事者 #放射線検査 #保存推奨,"Jul 18, 2026",68,1,0.0001,0,20,0
xFRCtGTIrO0,親の検査、付き添いは検査室まで一緒に入れる？　#検査付き添い #親の検査 #CT検査 #レントゲン検査 #検査前の不安 #医療知識 #診療放射線技師,"Aug 11, 2026",57,1,0.0002,0,23,0
_wJirzAxXho,高齢の親の検査付き添い、事前に準備しておきたいこと #検査付き添い #親の検査 #高齢の親 #検査前の不安 #医療検査 #病院付き添い #診療放射線技師,"Aug 12, 2026",50,1,0.0002,,8,0
WkXTl-K7UH8,高齢の方の骨折、レントゲンだけで手術が決まるの？#骨折 #レントゲン #整形外科 #高齢者の骨折 #手術前 #CT検査 #診療放射線技師,"Jul 24, 2026",58,1,0.0002,0,21,0
JXKinV531vw,検査中、家族は外で待つだけ？付き添いの役割とは #検査付き添い #家族の付き添い #検査前の不安 #病院付き添い #医療の疑問 #患者さん向け #診療放射線技師,"Aug 16, 2026",55,1,0.0009,0,19,0
R-n1UQj9JvQ,「異常なし」なのに不安が消えない理由#診療放射線技師 #MRI検査 #CT検査 #検査結果 #異常なし #医療知識 #不安解消,"May 27, 2026",35,1,0.0007,0,22,0
Abq4eQGVeGM,エコー検査、痛い？怖い？我慢しなくて大丈夫です#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 4, 2026",46,1,0.0002,0,17,0
PE0k4sFEefk,検査前の絶食、なんで必要？#検査前 #絶食 #CT検査 #造影CT #エコー検査 #放射線技師 #診療放射線技師 #医療知識 #検査の不安 #不安解消,"May 30, 2026",62,1,0.01,0,21,0
wrc9hsjrqx8,小さいヒビ、レントゲンで見逃すことがあるの？#レントゲン #X線写真 #骨折 #ヒビ #手首の痛み #検査結果 #再検査 #医療知識 #診療放射線技師 #放射線検査  #患者さん向け  #安心して検査,"Jul 23, 2026",66,1,0.0077,0,17,0
k9t-H7VjThQ,骨密度検査、何歳から受ければいい？#骨密度検査 #骨密度 #骨粗しょう症  #骨折予防 #閉経後 #女性の健康 #予防医療 #健康診断 #整形外科 #検査の不安 #診療放射線技師 #保存推奨,"Jun 21, 2026",64,1,0,,19,0
NIj099kRV3M,親の検査前の案内、家族も一緒に聞いていい？　#検査前の不安 #親の検査 #家族の付き添い #医療検査 #検査前確認 #患者さん向け #診療放射線技師,"Aug 14, 2026",63,1,0.0008,0,15,0
grGxsPfVI0Y,親の薬が分からない時 、家族が検査前にできること 　#検査前 #お薬手帳 #薬の確認 #家族の付き添い #病院検査 #検査の不安 #患者さん向け #診療放射線技師,"Aug 17, 2026",43,1,0.0011,0,14,0
nXHYAiXBru0,検査中に気分が悪くなったら、我慢しなくて大丈夫です#検査 #CT検査 #造影CT #放射線検査 #医療 #病院 #診療放射線技師 #検査の不安 #体調不良 #医療従事者 #健康管理 #患者さん向け,"Jul 15, 2026",63,1,0.0004,0,19,0
0tfJzioifck,再検査と言われたら、次はどの検査？#再検査 #CT検査 #MRI検査 #エコー検査 #超音波検査 #検査前 #病院 #医療知識 #放射線技師 #診療放射線技師,"Jun 1, 2026",43,1,0.0029,0,16,6.25
UeyxDCFr3Sw,検査着に着替える理由#検査着#レントゲン#X線検査#放射線検査#検査前#医療知識#放射線技師#病院あるある#健康管理#保存推奨,"Jun 1, 2026",45,1,0.0016,0,22,0
oEllZfP-5OE,検査のたびに名前や生年月日を聞かれるのはなぜ？#診療放射線技師 #放射線検査 #CT検査 #MRI検査 #医療安全 #本人確認 #検査前確認 #病院あるある #患者さん向け #検査の不安 #医療知識,"Jul 19, 2026",52,1,0.0051,0,6,16.67
bdnyc883dDk,足の手術なのに、なぜ胸の検査もするの？#手術前検査 #胸部X線 #胸のレントゲン #レントゲン #麻酔前検査 #術前検査 #病院の検査 #検査前の不安 #医療知識 #患者さん向け #診療放射線技師,"Jun 26, 2026",71,1,0.0001,0,8,0
BebOppwi-Lw,説明が難しくて聞き返していいの？ #検査前の不安 #医療検査 #放射線検査 #CT検査 #MRI検査 #患者さんへ #診療放射線技師,"Jul 29, 2026",42,1,0.0003,0,9,0
pbFaB3s2A3c,MRI前の金属チェック、なぜ聞かれる？#MRI #MRI検査 #金属チェック #放射線技師 #診療放射線技師 #検査前 #医療知識 #医療雑学 #不安解消,"May 22, 2026",43,0,0,0,30,0
uaBaEmqfmzE,CTとMRI、同じ検査じゃない#CT検査 #MRI検査 #放射線技師 #医療知識 #検査前に知っておきたい #放射線技師の安心ラボ,"May 21, 2026",44,0,0,0,14,0
ezt6YkvsZA0,検査に付き添う前に家族が知っておきたい3つのこと  #検査付き添い #家族の検査 #検査前の準備 #病院付き添い #医療の不安 #診療放射線技師 #検査前に知っておきたいこと,"Aug 10, 2026",48,0,0,0,16,0
OfHy4br_BNA,エコーで何がわかるの？#エコー検査 #超音波検査 #病院検査 #検査前 #医療知識 #血流 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 6, 2026",36,0,0,,14,0
dH3DzkYMGEM,検査が不安なとき、どこまで伝えていいの？#診療放射線技師 #放射線検査 #レントゲン検査 #CT検査 #MRI検査 #検査前 #検査が不安 #医療情報 #病院受診 #子どもの検査 #大人の検査,"Jul 14, 2026",57,0,0,0,9,0
 -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,,,,7,0
