日付,トラフィック ソース,視聴回数
2026-08-22,直接入力または不明,0
2026-08-23,直接入力または不明,1
2026-08-24,直接入力または不明,0
2026-08-25,直接入力または不明,0
2026-08-26,直接入力または不明,0
2026-08-27,直接入力または不明,0
2026-08-28,直接入力または不明,0
2026-08-29,直接入力または不明,0
2026-08-22,ブラウジング機能,9
2026-08-23,ブラウジング機能,1
2026-08-24,ブラウジング機能,0
2026-08-25,ブラウジング機能,5
2026-08-26,ブラウジング機能,2
2026-08-27,ブラウジング機能,4
2026-08-28,ブラウジング機能,2
2026-08-29,ブラウジング機能,0
2026-08-22,チャンネル ページ,0
2026-08-23,チャンネル ページ,1
2026-08-24,チャンネル ページ,0
2026-08-25,チャンネル ページ,13
2026-08-26,チャンネル ページ,2
2026-08-27,チャンネル ページ,1
2026-08-28,チャンネル ページ,0
2026-08-29,チャンネル ページ,0
2026-08-22,YouTube 検索,45
2026-08-23,YouTube 検索,50
2026-08-24,YouTube 検索,75
2026-08-25,YouTube 検索,62
2026-08-26,YouTube 検索,65
2026-08-27,YouTube 検索,76
2026-08-28,YouTube 検索,106
2026-08-29,YouTube 検索,63
2026-08-22,関連動画,0
2026-08-23,関連動画,0
2026-08-24,関連動画,0
2026-08-25,関連動画,0
2026-08-26,関連動画,0
2026-08-27,関連動画,0
2026-08-28,関連動画,0
2026-08-29,関連動画,1
2026-08-22,その他の YouTube 機能,4
2026-08-23,その他の YouTube 機能,4
2026-08-24,その他の YouTube 機能,3
2026-08-25,その他の YouTube 機能,1
2026-08-26,その他の YouTube 機能,4
2026-08-27,その他の YouTube 機能,4
2026-08-28,その他の YouTube 機能,1
2026-08-29,その他の YouTube 機能,3
2026-08-22,外部,1
2026-08-23,外部,1
2026-08-24,外部,2
2026-08-25,外部,2
2026-08-26,外部,0
2026-08-27,外部,0
2026-08-28,外部,0
2026-08-29,外部,0
2026-08-22,通知,1
2026-08-23,通知,0
2026-08-24,通知,0
2026-08-25,通知,0
2026-08-26,通知,0
2026-08-27,通知,1
2026-08-28,通知,0
2026-08-29,通知,1
2026-08-22,ショート フィード,515
2026-08-23,ショート フィード,563
2026-08-24,ショート フィード,765
2026-08-25,ショート フィード,929
2026-08-26,ショート フィード,533
2026-08-27,ショート フィード,1048
2026-08-28,ショート フィード,79
2026-08-29,ショート フィード,918
2026-08-22,ハッシュタグのページ,0
2026-08-23,ハッシュタグのページ,0
2026-08-24,ハッシュタグのページ,4
2026-08-25,ハッシュタグのページ,0
2026-08-26,ハッシュタグのページ,1
2026-08-27,ハッシュタグのページ,0
2026-08-28,ハッシュタグのページ,0
2026-08-29,ハッシュタグのページ,4
2026-08-22,音声のページ,1
2026-08-23,音声のページ,0
2026-08-24,音声のページ,0
2026-08-25,音声のページ,0
2026-08-26,音声のページ,0
2026-08-27,音声のページ,0
2026-08-28,音声のページ,0
2026-08-29,音声のページ,0
