日付,視聴行動別の視聴者区分,視聴回数
2026-08-22,不明,0
2026-08-23,不明,0
2026-08-24,不明,0
2026-08-25,不明,0
2026-08-26,不明,0
2026-08-27,不明,0
2026-08-28,不明,0
2026-08-29,不明,0
2026-08-22,新しい視聴者数,572
2026-08-23,新しい視聴者数,615
2026-08-24,新しい視聴者数,846
2026-08-25,新しい視聴者数,995
2026-08-26,新しい視聴者数,602
2026-08-27,新しい視聴者数,1131
2026-08-28,新しい視聴者数,188
2026-08-29,新しい視聴者数,0
2026-08-22,ライトな視聴者,4
2026-08-23,ライトな視聴者,6
2026-08-24,ライトな視聴者,3
2026-08-25,ライトな視聴者,17
2026-08-26,ライトな視聴者,5
2026-08-27,ライトな視聴者,3
2026-08-28,ライトな視聴者,0
2026-08-29,ライトな視聴者,0
