日付,OS,視聴回数
2026-07-05,Windows,4
2026-07-06,Windows,10
2026-07-07,Windows,15
2026-07-08,Windows,27
2026-07-09,Windows,7
2026-07-10,Windows,7
2026-07-11,Windows,11
2026-07-05,Android,18
2026-07-06,Android,42
2026-07-07,Android,273
2026-07-08,Android,216
2026-07-09,Android,181
2026-07-10,Android,118
2026-07-11,Android,184
2026-07-05,iOS,25
2026-07-06,iOS,43
2026-07-07,iOS,493
2026-07-08,iOS,476
2026-07-09,iOS,509
2026-07-10,iOS,485
2026-07-11,iOS,661
2026-07-05,Macintosh,0
2026-07-06,Macintosh,0
2026-07-07,Macintosh,1
2026-07-08,Macintosh,2
2026-07-09,Macintosh,0
2026-07-10,Macintosh,0
2026-07-11,Macintosh,1
2026-07-05,PlayStation,0
2026-07-06,PlayStation,1
2026-07-07,PlayStation,0
2026-07-08,PlayStation,0
2026-07-09,PlayStation,0
2026-07-10,PlayStation,0
2026-07-11,PlayStation,0
2026-07-05,WebOS,0
2026-07-06,WebOS,0
2026-07-07,WebOS,0
2026-07-08,WebOS,0
2026-07-09,WebOS,0
2026-07-10,WebOS,0
2026-07-11,WebOS,0
2026-07-05,スマート テレビ,1
2026-07-06,スマート テレビ,0
2026-07-07,スマート テレビ,1
2026-07-08,スマート テレビ,2
2026-07-09,スマート テレビ,0
2026-07-10,スマート テレビ,3
2026-07-11,スマート テレビ,0
2026-07-05,Nintendo Switch,0
2026-07-06,Nintendo Switch,0
2026-07-07,Nintendo Switch,1
2026-07-08,Nintendo Switch,3
2026-07-09,Nintendo Switch,1
2026-07-10,Nintendo Switch,1
2026-07-11,Nintendo Switch,1
2026-07-05,Amazon Fire OS,0
2026-07-06,Amazon Fire OS,0
2026-07-07,Amazon Fire OS,1
2026-07-08,Amazon Fire OS,2
2026-07-09,Amazon Fire OS,1
2026-07-10,Amazon Fire OS,2
2026-07-11,Amazon Fire OS,5
2026-07-05,ChromeOS,0
2026-07-06,ChromeOS,0
2026-07-07,ChromeOS,0
2026-07-08,ChromeOS,1
2026-07-09,ChromeOS,1
2026-07-10,ChromeOS,0
2026-07-11,ChromeOS,0
2026-07-05,Vidaa,5
2026-07-06,Vidaa,2
2026-07-07,Vidaa,9
2026-07-08,Vidaa,2
2026-07-09,Vidaa,1
2026-07-10,Vidaa,0
2026-07-11,Vidaa,2
