コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,平均視聴時間,インプレッション数,インプレッションのクリック率 (%)
合計,,,,3872,18.8887,7,0:00:36,4452,2.96
0QMhezmENcQ,胸のレントゲン、肺だけ見ていると思っていませんか？#レントゲン #胸部レントゲン #胸部X線 #診療放射線技師 #放射線検査 #医療知識 #検査の疑問 #健康診断 #心臓 #肺 #CT #医療系リール,"Jul 7, 2026",53,759,4.14,2,0:00:42,235,2.13
nDDM0kBf-T4,動いてしまう子どもの検査、実際どうしてるの？#子どもの検査 #小児検査 #レントゲン #CT検査 #MRI検査 #検査の不安 #病院 #子育て #育児 #診療放射線技師 #医療 #医療従事者,"Jul 11, 2026",54,713,1.7532,2,0:00:21,12,0
vmSq6QQOkLo,泣いている子、無理やり撮影するの？#診療放射線技師 #レントゲン #小児レントゲン #子どもの検査 #病院付き添い #検査の不安 #医療の豆知識 #子育てママ #子育てパパ #育児の不安 #保存推奨,"Jul 10, 2026",54,679,2.2124,1,0:00:24,26,7.69
yCoseKNslvc,検査中に動いてしまった、大丈夫？#レントゲン #CT検査 #放射線検査 #検査前の不安 #医療知識 #病院あるある #患者さんへ #診療放射線技師 #検査の疑問 #健康診断,"Jul 8, 2026",53,679,6.515,2,0:01:09,112,8.04
Xslt2TVY6Dc,抱っこしたまま検査に付き添っても大丈夫？#レントゲン #小児検査 #子どもの検査 #付き添い検査 #医療情報 #診療放射線技師 #検査の不安 #子育て #育児 #病院付き添い,"Jul 9, 2026",55,666,1.9772,0,0:00:21,37,5.41
8bQbSVD8pZQ,レントゲンで服のしわやボタンは写るの？#レントゲン #X線検査 #放射線検査 #診療放射線技師 #検査前 #検査の疑問 #医療知識 #病院検査 #健康診断 #患者さん向け,"Jul 6, 2026",55,59,0.1256,0,0:00:19,114,4.39
kIFIlJQJHoc,MRI検査中、これだけは知っておいてください#MRI #MRI検査 #検査前の不安 #放射線技師 #医療情報 #検査の豆知識 #患者さん向け #病院検査,"May 23, 2026",45,29,0.1897,0,0:00:30,117,10.26
JD7DHcAXUiI,CT造影剤 体が熱くなるのは大丈夫?#CT検査 #造影CT #造影剤 #造影剤検査 #検査前の不安 #医療情報 #病院検査 #診療放射線技師 #患者さん向け #検査の不安解消 #CT造影剤 #保存推奨,"Jul 3, 2026",102,29,0.2321,0,0:00:39,225,3.11
lZ5mDgQYSmI,造影剤って何のために使うの？#CT検査 #造影CT #造影剤 #検査前の不安 #医療解説 #病院検査 #診療放射線技師 #健康診断 #検査の不安 #患者さん向け #放射線検査,"Jun 28, 2026",86,23,0.2747,0,0:00:54,260,5.38
T1L_9OLXHdE,マンモで要精密検査、次に何をする？#マンモグラフィ#マンモ#乳がん検診#要精密検査#乳腺外来#乳腺外科#乳腺エコー#検診結果#健康診断#医療知識#検査の不安#患者さん向け#医療系リール,"Jun 27, 2026",49,21,0.1048,0,0:00:30,182,4.4
skFRoPNX4A8,CTって何分くらいかかるの？#CT検査 #単純CT #造影CT #検査時間 #検査の不安 #医療知識 #病院検査 #診療放射線技師 #検査前に知っておきたい #患者さん向け #医療情報 #不安解消,"Jul 2, 2026",112,21,0.1041,0,0:00:28,285,3.16
4szH2c2pfHE,造影剤の副作用やアレルギーが怖い方へ#造影剤 #造影CT #CT検査 #検査前の不安 #医療知識 #健康診断 #画像検査 #病院検査 #診療放射線技師 #不安を減らす医療情報,"Jun 30, 2026",80,18,0.1511,0,0:00:45,195,4.1
qr_fOqwZKPs,マンモの結果、何と書いてあったら受診が必要？#マンモグラフィー #乳がん検診 #乳がん検査 #検査結果 #要精密検査 #乳腺外科 #女性の健康 #医療情報 #検査の不安 #診療放射線技師 #安心解説,"Jun 17, 2026",60,14,0.0946,0,0:00:37,328,0.91
MTviviSD5Gg,レントゲンで再撮影になるのは失敗ですか？#レントゲン #X線検査 #再撮影 #放射線検査 #診療放射線技師 #検査の不安 #病院検査 #医療知識 #患者さん向け #検査前に知っておきたいこと,"Jul 5, 2026",68,11,0.0842,0,0:00:37,186,2.69
F-cvsMA6nuQ,腎機能が低下していると、造影剤は使えないの？#造影CT #造影剤 #CT検査 #腎機能 #透析 #医療検査 #検査の不安 #診療放射線技師 #病院検査 #医療知識,"Jul 1, 2026",104,11,0.0485,0,0:00:53,76,3.95
AUUfu1AyUas,MRIの音、壊れてるわけじゃありません#MRI検査#MRI#放射線技師#検査前の不安#医療知識#病院#健康情報#検査#医療#安心して検査,"May 23, 2026",52,10,0.0196,0,0:00:12,109,2.75
AOsJBz9s3nY,レントゲンとCTって何が違うの?#レントゲン #CT検査 #画像検査 #診療放射線技師 #医療知識 #検査前の不安 #病院 #健康診断,"Jun 25, 2026",59,10,0.0793,0,0:00:47,91,1.1
dhxxEemmfIk,骨密度検査、かかとで測るの？腰で測るの？#骨密度検査 #DXA法 #骨粗しょう症予防 #健康診断 #診療放射線技師 #検査の不安を安心に #医療知識 #骨の健康,"Jun 12, 2026",51,10,0.0738,0,0:00:26,77,7.79
q-8bDBq9O7A,なぜ息を吸って止めるの？#レントゲン #胸部レントゲン #胸部X線 #放射線検査 #診療放射線技師 #検査前の不安 #医療知識 #健康診断 #病院検査 #安心して検査,"Jun 24, 2026",61,9,0.0289,0,0:00:19,194,0.52
0tfJzioifck,再検査と言われたら、次はどの検査？#再検査 #CT検査 #MRI検査 #エコー検査 #超音波検査 #検査前 #病院 #医療知識 #放射線技師 #診療放射線技師,"Jun 1, 2026",43,9,0.3046,0,0:04:33,24,12.5
kiV9LttK6vk,お腹が痛いのに、なぜ胸のレントゲン？#胸部X線#レントゲン#腹痛#検査の理由#病院の検査#診療放射線技師#医療知識#検査前の不安#患者さん向け,"Jun 23, 2026",63,8,0.0337,0,0:00:28,164,0.61
xmPCjRJHdWU,検査前にアクセサリーを外すのはなぜ?#検査前 #アクセサリー #MRI検査 #CT検査 #レントゲン #画像検査 #診療放射線技師 #病院検査 #医療知識 #検査の不安 #患者さん向け #健康診断,"Jul 4, 2026",76,8,0.0049,0,0:00:05,76,1.32
b5xkAwZEHM8,エコーのゼリー、実は画像を見やすくするためです#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 3, 2026",47,7,0.0157,1,0:00:16,27,7.41
qkey5CrcNoM,MRI・CTの結果が後日になる理由#MRI#CT#画像検査#検査結果待ち#放射線科医#放射線技師#医療情報#検査の不安#病院#健康管理,"May 25, 2026",52,6,0.0296,0,0:00:20,26,11.54
 -nyM6wTIpv4,高濃度乳房ならエコー？検査の選び方は人によって違います#マンモグラフィー #高濃度乳房 #乳腺エコー #乳がん検診 #乳がん検査 #検査結果 #病院検査 #診療放射線技師 #検査の不安#保存推奨,"Jun 10, 2026",47,5,0.0192,0,0:00:21,56,1.79
zJ0TEpESQKw,CT検査前の絶食と水分制限はなぜ必要？#CT検査 #造影CT #検査前準備 #絶食 #水分制限 #薬の確認 #医療情報 #検査の不安 #診療放射線技師 #患者さん向け #医療解説,"Jun 29, 2026",73,5,0.0509,0,0:01:00,55,1.82
uaBaEmqfmzE,CTとMRI、同じ検査じゃない#CT検査 #MRI検査 #放射線技師 #医療知識 #検査前に知っておきたい #放射線技師の安心ラボ,"May 21, 2026",44,5,0.0087,0,0:00:09,24,8.33
NK4qSW_UXEo,骨密度の結果、YAM70%って何？#骨密度検査 #YAM #骨粗しょう症 #骨量減少 #整形外科 #健康診断 #検査結果 #診療放射線技師 #医療知識 #保存推奨,"Jun 20, 2026",70,4,0.0368,0,0:01:04,86,0
zDz8Oj91GRE,造影CTの前に、家族が確認したい3つ#造影CT #造影剤 #CT検査 #医療知識 #健康リテラシー #放射線技師 #病院 #検査 #医療の話 #ヘルスリテラシー,"May 21, 2026",37,4,0.0121,0,0:00:14,64,3.13
YMCA_PsbXY4,マンモグラフィーで胸を圧迫するのはなぜ？大切な理由があります#マンモグラフィー #乳がん検診 #乳がん検査 #検査前 #病院検査 #医療知識 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 7, 2026",41,4,0.0219,0,0:01:15,105,0
fRdBecey4kU,エコーって被ばくする？実は放射線ゼロの検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #放射線技師 #検査の不安 #保存推奨,"Jun 2, 2026",52,4,0.0078,0,0:00:07,22,9.09
KFUL5Xln05M,DXA法って何？なぜ腰と太ももの付け根で測るの？#骨密度検査  #DXA法 #できさ #骨粗しょう症 #健康診断 #診療放射線技師 #検査の不安 #医療解説 #女性の健康 #健診 #安心して検査,"Jun 13, 2026",60,4,0.0309,0,0:00:53,30,6.67
M2b9EXtwSZI,え、温泉でも放射線浴びてるの？#診療放射線技師 #放射線 #ラドン温泉 #ラジウム温泉 #温泉 #医療雑学 #自然放射線 #安心ラボ,"May 15, 2026",36,3,0.0021,0,,42,0
Abq4eQGVeGM,エコー検査、痛い？怖い？我慢しなくて大丈夫です#エコー検査 #超音波検査 #検査前 #病院検査 #医療知識 #安心解説 #診療放射線技師 #検査の不安 #病院あるある #保存推奨,"Jun 4, 2026",46,2,0.022,0,0:00:39,29,6.9
suG27BPKF9g,乳がん検診、何歳から受ければいいの？#乳がん検診 #マンモグラフィ #乳がん #乳腺外科 #婦人科 #検診 #健康診断 #女性の健康 #30.40代女性 #医療情報 #検査の不安 #診療放射線技師,"Jun 16, 2026",57,2,0.0007,0,,77,0
7RWe3mF_GrE,胸部X線で何がわかるの？#胸部X線#レントゲン#胸のレントゲン#肺#心臓#肋骨#健診#検査前の不安#医療知識#診療放射線技師#放射線検査#病院#健康診断,"Jun 22, 2026",43,2,0.0022,0,0:00:05,50,2
43EsE8xRmBM,検査当日の持ち物チェック#検査前の準備 #病院の持ち物 #放射線技師 #MRI検査 #CT検査 #医療知識 #検査当日 #保存推奨,"May 31, 2026",60,2,0.0128,0,0:00:43,18,5.56
c-YhHFPccVw,CTを撮ったのに、なぜMRIも必要なの？#CT検査 #MRI検査 #医療知識 #検査の不安 #画像検査 #診療放射線技師 #病院の検査 #検査前の不安 #医療をわかりやすく #安心して検査へ,"Jun 15, 2026",54,2,0.0166,0,0:00:29,29,3.45
mlkNWVz1dI4,骨密度が低い＝すぐ骨折？ではありません#骨密度検査 #骨密度 #骨粗しょう症予防 #骨折予防 #DXA #健康診断 #検査の不安 #医療解説 #診療放射線技師 #保存推奨,"Jun 14, 2026",46,2,0.0017,0,,17,0
 -srnUvQ8rs0,健診で、かかとに音波を当てるのはなぜ？#骨密度検査 #骨密度 #骨粗鬆症予防 #健診 #健康診断 #かかと検査 #超音波検査 #女性の健康 #診療放射線技師 #検査の不安 #安心解説 #保存推奨,"Jun 11, 2026",41,2,0.0042,0,0:00:15,19,5.26
DE6f2MR9Mss,救急でCT？命を守るために必要なことも#CT検査 #救急医療 #外傷 #全身CT #放射線 #医療知識 #健康リテラシー #検査 #病院 #医療の話,"May 18, 2026",34,1,0.0002,0,,12,0
k9t-H7VjThQ,骨密度検査、何歳から受ければいい？#骨密度検査 #骨密度 #骨粗しょう症  #骨折予防 #閉経後 #女性の健康 #予防医療 #健康診断 #整形外科 #検査の不安 #診療放射線技師 #保存推奨,"Jun 21, 2026",64,1,0.0002,0,,36,0
