日付,チャンネル登録元,チャンネル登録者
2026-07-05,その他,-1
2026-07-06,その他,0
2026-07-07,その他,0
2026-07-08,その他,0
2026-07-09,その他,0
2026-07-10,その他,0
2026-07-11,その他,0
2026-07-05,あなたの YouTube チャンネル,0
2026-07-06,あなたの YouTube チャンネル,0
2026-07-07,あなたの YouTube チャンネル,1
2026-07-08,あなたの YouTube チャンネル,-2
2026-07-09,あなたの YouTube チャンネル,0
2026-07-10,あなたの YouTube チャンネル,0
2026-07-11,あなたの YouTube チャンネル,0
2026-07-05,ショート フィード,0
2026-07-06,ショート フィード,0
2026-07-07,ショート フィード,2
2026-07-08,ショート フィード,3
2026-07-09,ショート フィード,1
2026-07-10,ショート フィード,0
2026-07-11,ショート フィード,0
