日付,トラフィック ソース,視聴回数
2026-07-05,直接入力または不明,0
2026-07-06,直接入力または不明,0
2026-07-07,直接入力または不明,0
2026-07-08,直接入力または不明,0
2026-07-09,直接入力または不明,0
2026-07-10,直接入力または不明,0
2026-07-11,直接入力または不明,0
2026-07-05,ブラウジング機能,2
2026-07-06,ブラウジング機能,7
2026-07-07,ブラウジング機能,13
2026-07-08,ブラウジング機能,15
2026-07-09,ブラウジング機能,9
2026-07-10,ブラウジング機能,8
2026-07-11,ブラウジング機能,3
2026-07-05,チャンネル ページ,0
2026-07-06,チャンネル ページ,1
2026-07-07,チャンネル ページ,3
2026-07-08,チャンネル ページ,0
2026-07-09,チャンネル ページ,0
2026-07-10,チャンネル ページ,15
2026-07-11,チャンネル ページ,0
2026-07-05,YouTube 検索,40
2026-07-06,YouTube 検索,43
2026-07-07,YouTube 検索,36
2026-07-08,YouTube 検索,61
2026-07-09,YouTube 検索,39
2026-07-10,YouTube 検索,32
2026-07-11,YouTube 検索,40
2026-07-05,関連動画,5
2026-07-06,関連動画,2
2026-07-07,関連動画,1
2026-07-08,関連動画,0
2026-07-09,関連動画,1
2026-07-10,関連動画,3
2026-07-11,関連動画,0
2026-07-05,その他の YouTube 機能,1
2026-07-06,その他の YouTube 機能,0
2026-07-07,その他の YouTube 機能,4
2026-07-08,その他の YouTube 機能,7
2026-07-09,その他の YouTube 機能,0
2026-07-10,その他の YouTube 機能,2
2026-07-11,その他の YouTube 機能,2
2026-07-05,外部,0
2026-07-06,外部,0
2026-07-07,外部,0
2026-07-08,外部,0
2026-07-09,外部,0
2026-07-10,外部,0
2026-07-11,外部,0
2026-07-05,通知,1
2026-07-06,通知,0
2026-07-07,通知,1
2026-07-08,通知,0
2026-07-09,通知,0
2026-07-10,通知,0
2026-07-11,通知,0
2026-07-05,ショート フィード,4
2026-07-06,ショート フィード,47
2026-07-07,ショート フィード,736
2026-07-08,ショート フィード,652
2026-07-09,ショート フィード,655
2026-07-10,ショート フィード,558
2026-07-11,ショート フィード,822
