日付,再生場所,視聴回数
2026-07-05,YouTube 動画再生ページ,7
2026-07-06,YouTube 動画再生ページ,2
2026-07-07,YouTube 動画再生ページ,4
2026-07-08,YouTube 動画再生ページ,6
2026-07-09,YouTube 動画再生ページ,5
2026-07-10,YouTube 動画再生ページ,6
2026-07-11,YouTube 動画再生ページ,1
2026-07-05,外部のウェブサイトやアプリの埋め込みプレーヤー,0
2026-07-06,外部のウェブサイトやアプリの埋め込みプレーヤー,0
2026-07-07,外部のウェブサイトやアプリの埋め込みプレーヤー,0
2026-07-08,外部のウェブサイトやアプリの埋め込みプレーヤー,0
2026-07-09,外部のウェブサイトやアプリの埋め込みプレーヤー,0
2026-07-10,外部のウェブサイトやアプリの埋め込みプレーヤー,0
2026-07-11,外部のウェブサイトやアプリの埋め込みプレーヤー,0
2026-07-05,ブラウジング機能,0
2026-07-06,ブラウジング機能,0
2026-07-07,ブラウジング機能,0
2026-07-08,ブラウジング機能,0
2026-07-09,ブラウジング機能,0
2026-07-10,ブラウジング機能,0
2026-07-11,ブラウジング機能,0
2026-07-05,ショート フィード,46
2026-07-06,ショート フィード,98
2026-07-07,ショート フィード,790
2026-07-08,ショート フィード,729
2026-07-09,ショート フィード,699
2026-07-10,ショート フィード,612
2026-07-11,ショート フィード,866
